id,age,workclass,education,marital_status,occupation,relationship,race,hours_per_week
111,48,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,60
112,26,Private,Bachelors,Never-married,Transport-moving,Own-child,White,20
113,33,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,40
114,37,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,50
115,59,Local-gov,9th,Married-civ-spouse,Other-service,Husband,White,40
116,31,Private,HS-grad,Never-married,Sales,Not-in-family,White,40
117,39,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,60
118,17,Private,10th,Never-married,Other-service,Own-child,White,15
119,61,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,50
120,24,Private,Bachelors,Never-married,Craft-repair,Own-child,White,40
121,35,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,50
122,46,Private,Bachelors,Divorced,Sales,Unmarried,White,40
123,27,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,45
124,28,Private,9th,Married-civ-spouse,Other-service,Other-relative,White,35
125,56,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,34
126,50,Local-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,40
127,72,?,Assoc-acdm,Married-civ-spouse,?,Husband,White,16
128,41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,40
129,35,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,65
130,71,Private,9th,Married-civ-spouse,Protective-serv,Husband,White,39
131,28,Private,Some-college,Never-married,Other-service,Own-child,White,30
132,59,Private,Masters,Never-married,Sales,Not-in-family,White,45
133,45,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,40
134,55,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,60
135,75,Self-emp-not-inc,11th,Widowed,Sales,Not-in-family,White,40
136,29,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,40
137,49,Federal-gov,Masters,Married-civ-spouse,Adm-clerical,Husband,White,40
138,37,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,40
139,36,Self-emp-inc,Bachelors,Divorced,Sales,Not-in-family,White,60
140,46,Private,Prof-school,Divorced,Prof-specialty,Not-in-family,White,40
141,26,Private,Assoc-voc,Never-married,Sales,Own-child,White,35
142,58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,84
143,25,Local-gov,Some-college,Divorced,Protective-serv,Not-in-family,White,40
144,45,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,40
145,33,Private,10th,Never-married,Handlers-cleaners,Unmarried,Black,40
146,22,Private,HS-grad,Never-married,Other-service,Not-in-family,White,20
147,34,Private,Some-college,Never-married,Sales,Other-relative,Black,30
148,34,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,27
149,28,Private,HS-grad,Separated,Other-service,Not-in-family,White,25
150,66,?,Bachelors,Married-civ-spouse,?,Husband,White,24
151,54,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,50
152,68,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,28
153,44,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,50
154,22,?,Some-college,Never-married,?,Own-child,White,40
155,53,?,Bachelors,Divorced,?,Not-in-family,White,50
156,25,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,45
157,54,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,52
158,32,Private,HS-grad,Divorced,Tech-support,Unmarried,White,38
159,65,Self-emp-not-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,10
160,28,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,40
161,25,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,40
162,40,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,15
163,44,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,37
164,25,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,40
165,55,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,50
166,59,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,40
167,31,State-gov,Some-college,Divorced,Protective-serv,Not-in-family,White,40
168,24,Federal-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,25
169,64,?,HS-grad,Married-civ-spouse,?,Husband,White,5
170,46,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,60
171,47,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,40
172,37,Self-emp-inc,11th,Married-spouse-absent,Sales,Not-in-family,White,60
173,32,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,65
174,45,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,45
175,30,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,37
176,29,Self-emp-not-inc,Assoc-voc,Never-married,Farming-fishing,Not-in-family,White,75
177,18,Private,12th,Never-married,Sales,Own-child,White,20
178,31,Local-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,45
179,73,?,HS-grad,Widowed,?,Not-in-family,White,15
180,37,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,40
181,54,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,30
182,28,State-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,10
183,31,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,65
184,38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,70
185,43,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,40
186,20,Private,Assoc-voc,Never-married,Farming-fishing,Own-child,White,40
187,25,Federal-gov,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,40
188,31,Private,Bachelors,Never-married,Sales,Not-in-family,White,40
189,59,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,40
190,19,Private,1st-4th,Never-married,Handlers-cleaners,Not-in-family,White,55
191,29,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,60
192,41,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,40
193,34,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,40
194,48,Private,1st-4th,Married-civ-spouse,Handlers-cleaners,Husband,White,40
195,18,?,12th,Never-married,?,Own-child,White,7
196,22,Private,HS-grad,Separated,Sales,Unmarried,White,40
197,47,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,45
198,63,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,24
199,38,Private,7th-8th,Married-civ-spouse,Adm-clerical,Husband,White,40
200,53,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,40
201,46,Private,10th,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,37
202,43,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,40
203,25,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,40
204,48,Private,1st-4th,Separated,Machine-op-inspct,Other-relative,Black,48
205,53,Private,HS-grad,Never-married,Other-service,Other-relative,Asian-Pac-Islander,10
206,66,Private,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,35
207,46,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,40
208,19,State-gov,Some-college,Never-married,Other-service,Own-child,White,12
209,47,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,40
210,54,Local-gov,Some-college,Divorced,Craft-repair,Unmarried,White,42
211,25,Private,7th-8th,Never-married,Handlers-cleaners,Unmarried,White,40
212,51,Private,HS-grad,Divorced,Prof-specialty,Unmarried,White,40
213,33,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,40
214,36,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,40
215,47,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,60
216,76,Private,Bachelors,Widowed,Prof-specialty,Not-in-family,White,20
217,23,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,30
218,17,Private,10th,Never-married,Other-service,Own-child,White,20
219,41,Private,Bachelors,Widowed,Exec-managerial,Unmarried,White,20
220,36,Private,Preschool,Divorced,Other-service,Not-in-family,Other,72
221,30,Private,Bachelors,Never-married,Sales,Not-in-family,White,35
222,33,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,50
223,33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,55
224,75,?,5th-6th,Married-civ-spouse,?,Husband,White,25
225,20,Self-emp-inc,Some-college,Never-married,Handlers-cleaners,Own-child,White,40
226,43,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,99
227,63,Private,10th,Widowed,Other-service,Not-in-family,White,31
228,25,Private,11th,Never-married,Adm-clerical,Not-in-family,White,40
229,30,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,50
230,48,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,50
231,30,Private,10th,Never-married,Sales,Other-relative,White,18
232,19,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,70
233,20,State-gov,HS-grad,Never-married,Transport-moving,Own-child,White,40
234,46,Private,Masters,Never-married,Adm-clerical,Not-in-family,White,60
235,33,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,50
236,24,Private,Assoc-acdm,Married-civ-spouse,Other-service,Husband,White,40
237,29,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,45
238,37,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,50
239,42,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,40
240,40,Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Not-in-family,White,50
241,37,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,40
242,36,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,40
243,24,State-gov,Bachelors,Never-married,Transport-moving,Not-in-family,Black,40
244,34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,40
245,24,Private,Bachelors,Never-married,Sales,Not-in-family,White,65
246,19,?,Some-college,Never-married,?,Own-child,White,40
247,62,Self-emp-inc,Bachelors,Divorced,Sales,Not-in-family,White,40
248,33,Private,Some-college,Never-married,Other-service,Not-in-family,White,28
249,65,Private,Bachelors,Widowed,Other-service,Not-in-family,White,40
250,58,Private,Bachelors,Divorced,Craft-repair,Own-child,White,20
251,32,Private,HS-grad,Married-civ-spouse,Other-service,Wife,Black,40
252,66,Self-emp-not-inc,11th,Divorced,Other-service,Not-in-family,White,40
253,24,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,32
254,55,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,60
255,58,Private,10th,Never-married,Other-service,Not-in-family,White,40
256,38,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,40
257,60,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,40
258,23,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40
259,70,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,25
260,56,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,Black,40
261,22,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,15
262,28,Private,HS-grad,Separated,Exec-managerial,Unmarried,White,50
263,44,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,50
264,35,Private,HS-grad,Married-civ-spouse,Tech-support,Wife,White,35
265,62,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,32
266,25,?,HS-grad,Never-married,?,Own-child,White,40
267,31,Private,HS-grad,Divorced,Other-service,Unmarried,White,40
268,24,Private,Bachelors,Never-married,Farming-fishing,Not-in-family,White,40
269,29,Private,Assoc-acdm,Never-married,Other-service,Unmarried,Black,60
270,44,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,40
271,20,State-gov,Assoc-acdm,Never-married,Other-service,Own-child,White,20
272,42,Federal-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,40
273,22,Private,Some-college,Never-married,Adm-clerical,Own-child,White,35
274,36,Private,Bachelors,Never-married,Sales,Not-in-family,Asian-Pac-Islander,50
275,41,Private,Some-college,Married-civ-spouse,Sales,Husband,White,50
276,43,State-gov,Some-college,Divorced,Exec-managerial,Unmarried,White,40
277,64,?,Assoc-acdm,Never-married,?,Not-in-family,White,20
278,44,Private,Some-college,Married-civ-spouse,Sales,Wife,White,40
279,64,Private,Some-college,Widowed,Tech-support,Unmarried,White,40
280,43,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,50
281,33,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,40
282,42,Federal-gov,Masters,Married-civ-spouse,Adm-clerical,Wife,White,40
283,52,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,60
284,22,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,40
285,32,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,40
286,43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,50
287,54,Local-gov,11th,Widowed,Protective-serv,Unmarried,Black,40
288,26,Private,Some-college,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,44
289,60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40
290,55,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,45
291,33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,45
292,26,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,40
293,40,Private,10th,Married-civ-spouse,Exec-managerial,Husband,White,40
294,22,State-gov,Some-college,Never-married,Prof-specialty,Own-child,White,10
295,43,Federal-gov,Assoc-voc,Divorced,Handlers-cleaners,Unmarried,Black,40
296,48,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,50
297,24,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Other,40
298,32,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,40
299,39,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,40
300,40,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,45
301,35,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,25
302,33,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,40
303,51,Self-emp-not-inc,Bachelors,Divorced,Sales,Unmarried,White,40
304,36,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,40
305,33,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40
306,22,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,35
307,30,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,5
308,57,Private,HS-grad,Divorced,Other-service,Not-in-family,White,38
309,27,Private,Bachelors,Never-married,Prof-specialty,Other-relative,White,40
310,59,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,40
311,33,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,40
312,42,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,40
313,75,?,10th,Married-spouse-absent,?,Not-in-family,White,5
314,55,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,40
315,31,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,40
316,32,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,55
317,38,Private,Masters,Married-civ-spouse,Craft-repair,Husband,White,50
318,20,?,Some-college,Never-married,?,Not-in-family,White,25
319,20,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,42
320,31,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,40
321,38,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,40
322,33,Private,Bachelors,Married-civ-spouse,Other-service,Wife,White,40
323,57,Self-emp-not-inc,9th,Married-civ-spouse,Farming-fishing,Husband,White,45
324,56,Private,Some-college,Never-married,Craft-repair,Unmarried,White,40
325,36,Private,Some-college,Married-civ-spouse,Sales,Husband,White,44
326,24,Private,HS-grad,Never-married,Craft-repair,Own-child,White,44
327,56,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,35
328,36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40
329,23,Private,HS-grad,Never-married,Sales,Other-relative,Black,25
330,28,Private,Bachelors,Never-married,Tech-support,Not-in-family,Black,30
331,38,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,36
332,49,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,40
333,35,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,40
334,44,Local-gov,12th,Married-civ-spouse,Handlers-cleaners,Husband,White,40
335,33,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,45
336,52,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,40
337,60,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,40
338,46,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,40
339,28,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,20
340,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40
341,26,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Other,40
342,42,Local-gov,Some-college,Divorced,Tech-support,Unmarried,White,32
343,24,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,45
344,18,Private,Some-college,Never-married,Other-service,Own-child,White,25
345,35,Private,Bachelors,Never-married,Adm-clerical,Other-relative,White,40
346,39,Private,Some-college,Married-civ-spouse,Sales,Husband,White,55
347,33,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,White,40
348,41,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,40
349,37,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,45
350,52,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,50
351,21,Self-emp-inc,Some-college,Never-married,Craft-repair,Own-child,White,40
352,45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,50
353,43,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,60
354,55,?,Masters,Married-civ-spouse,?,Husband,White,50
355,27,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,40
356,59,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,60
357,40,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,40
358,30,Private,Some-college,Separated,Sales,Unmarried,Black,16
359,39,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,40
360,22,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,40
361,53,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Black,30
362,43,Local-gov,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,40
363,36,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,40
364,18,?,Some-college,Never-married,?,Own-child,White,20
365,46,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40
366,24,Private,HS-grad,Married-spouse-absent,Sales,Own-child,White,36
367,47,Private,Assoc-voc,Never-married,Other-service,Not-in-family,White,55
368,57,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,40
369,19,Private,HS-grad,Never-married,Transport-moving,Own-child,White,35
370,50,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,Black,45
