id,room_type,price,minimum_nights,number_of_reviews
171,Entire home/apt,149,3,8
172,Shared room,75,1,7
173,Entire home/apt,90,4,22
174,Entire home/apt,150,1,8
175,Entire home/apt,250,5,3
176,Private room,60,4,11
177,Private room,65,5,7
178,Entire home/apt,225,3,0
179,Entire home/apt,120,5,9
180,Entire home/apt,103,2,29
181,Entire home/apt,150,2,2
182,Shared room,40,22,1
183,Entire home/apt,200,3,37
184,Entire home/apt,175,30,1
185,Entire home/apt,120,20,0
186,Entire home/apt,317,30,0
187,Entire home/apt,150,2,8
188,Private room,86,1,3
189,Entire home/apt,150,1,3
190,Private room,75,10,17
191,Private room,70,1,1
192,Entire home/apt,150,30,0
193,Entire home/apt,130,2,7
194,Private room,110,14,2
195,Private room,95,3,16
196,Entire home/apt,300,4,0
197,Entire home/apt,250,2,6
198,Private room,60,3,11
199,Private room,75,2,4
200,Entire home/apt,159,4,3
201,Entire home/apt,160,5,14
202,Entire home/apt,150,1,20
203,Entire home/apt,185,3,1
204,Entire home/apt,600,1,0
205,Entire home/apt,150,2,1
206,Private room,185,4,1
207,Entire home/apt,160,3,6
208,Entire home/apt,200,2,1
209,Private room,100,1,212
210,Entire home/apt,225,4,10
211,Private room,80,3,153
212,Entire home/apt,175,1,11
213,Entire home/apt,134,1,81
214,Private room,70,3,14
215,Private room,91,1,32
216,Private room,75,3,1
217,Private room,44,30,3
218,Shared room,180,1,0
219,Private room,50,1,2
220,Private room,55,4,3
221,Private room,42,2,3
222,Entire home/apt,160,2,3
223,Entire home/apt,600,2,1
224,Entire home/apt,150,1,7
225,Private room,117,7,1
226,Private room,40,1,14
227,Private room,128,1,0
228,Entire home/apt,750,30,42
229,Private room,50,2,43
230,Private room,120,2,11
231,Entire home/apt,90,12,1
232,Private room,130,1,11
233,Entire home/apt,325,7,0
234,Entire home/apt,120,3,20
235,Private room,69,60,43
236,Private room,70,1,129
237,Entire home/apt,160,1,41
238,Entire home/apt,250,3,21
239,Entire home/apt,76,14,2
240,Entire home/apt,100,29,3
241,Entire home/apt,252,2,12
242,Private room,80,5,0
243,Private room,80,3,0
244,Entire home/apt,325,2,5
245,Entire home/apt,195,3,30
246,Private room,175,2,2
247,Entire home/apt,202,1,0
248,Entire home/apt,140,5,7
249,Private room,150,3,0
250,Private room,66,6,6
251,Entire home/apt,78,6,4
252,Entire home/apt,215,2,3
253,Entire home/apt,160,2,6
254,Private room,40,8,29
255,Entire home/apt,190,30,1
256,Entire home/apt,150,30,0
257,Entire home/apt,160,2,3
258,Entire home/apt,120,1,6
259,Entire home/apt,760,14,1
260,Private room,150,1,4
261,Private room,349,3,3
262,Entire home/apt,399,2,80
263,Entire home/apt,129,3,2
264,Entire home/apt,100,3,1
265,Private room,146,2,26
266,Private room,48,30,7
267,Entire home/apt,115,30,5
268,Entire home/apt,270,4,171
269,Entire home/apt,140,2,76
270,Entire home/apt,205,1,1
271,Entire home/apt,150,2,162
272,Entire home/apt,83,30,6
273,Private room,140,3,64
274,Entire home/apt,220,3,108
275,Entire home/apt,129,2,6
276,Private room,50,7,3
277,Entire home/apt,170,30,0
278,Entire home/apt,300,1,8
279,Entire home/apt,119,30,3
280,Private room,65,3,1
281,Private room,163,2,396
282,Entire home/apt,140,2,4
283,Entire home/apt,275,3,1
284,Private room,60,3,86
285,Entire home/apt,117,30,1
286,Entire home/apt,300,3,2
287,Entire home/apt,300,5,0
288,Entire home/apt,500,2,0
289,Private room,125,1,8
290,Entire home/apt,120,2,4
291,Entire home/apt,175,2,8
292,Private room,47,30,1
293,Entire home/apt,128,4,2
294,Entire home/apt,220,2,140
295,Private room,78,2,46
296,Private room,72,2,27
297,Private room,43,30,1
298,Entire home/apt,165,2,13
299,Private room,69,2,128
300,Entire home/apt,200,2,0
301,Private room,199,1,25
302,Entire home/apt,110,5,9
303,Entire home/apt,115,10,4
304,Entire home/apt,225,30,1
305,Entire home/apt,200,2,6
306,Entire home/apt,1500,30,0
307,Private room,100,1,0
308,Private room,120,2,3
309,Private room,69,2,0
310,Entire home/apt,115,2,2
311,Private room,85,1,4
312,Entire home/apt,197,14,29
313,Private room,90,2,32
314,Private room,55,30,0
315,Private room,80,1,0
316,Private room,233,2,0
317,Private room,51,2,21
318,Private room,70,15,0
319,Entire home/apt,209,1,0
320,Private room,100,1,3
321,Private room,89,1,3
322,Private room,115,2,6
323,Private room,110,3,5
324,Private room,59,1,0
325,Private room,89,5,4
326,Entire home/apt,245,30,0
327,Entire home/apt,118,1,2
328,Entire home/apt,103,30,3
329,Private room,100,1,13
330,Private room,99,1,31
331,Entire home/apt,299,3,57
332,Entire home/apt,249,3,0
333,Entire home/apt,210,3,0
334,Entire home/apt,99,2,4
335,Entire home/apt,250,4,0
336,Private room,60,2,0
337,Private room,82,15,3
338,Entire home/apt,400,3,1
339,Private room,195,11,0
340,Entire home/apt,270,4,1
341,Entire home/apt,297,1,9
342,Private room,85,1,98
343,Private room,120,2,17
344,Entire home/apt,185,1,2
345,Private room,89,4,1
346,Entire home/apt,180,28,0
347,Entire home/apt,350,3,8
348,Private room,115,1,3
349,Entire home/apt,87,30,3
350,Entire home/apt,99,3,4
351,Private room,105,2,111
352,Entire home/apt,150,2,29
353,Entire home/apt,99,1,0
354,Entire home/apt,100,3,18
355,Entire home/apt,265,2,76
356,Entire home/apt,200,1,0
357,Private room,100,1,0
358,Private room,97,2,144
359,Entire home/apt,150,30,1
360,Private room,55,1,28
361,Private room,100,4,42
362,Entire home/apt,190,30,6
363,Entire home/apt,214,1,8
364,Entire home/apt,220,4,10
365,Entire home/apt,534,30,0
366,Entire home/apt,275,3,0
367,Entire home/apt,250,1,12
368,Private room,90,1,200
369,Private room,129,3,12
370,Entire home/apt,135,14,2
371,Entire home/apt,699,3,3
372,Private room,50,1,14
373,Entire home/apt,202,29,0
374,Private room,125,3,7
375,Private room,425,1,3
376,Entire home/apt,215,2,12
377,Private room,1500,2,0
378,Entire home/apt,93,365,10
379,Entire home/apt,280,2,53
380,Private room,130,2,21
381,Private room,140,2,4
382,Entire home/apt,95,4,3
383,Private room,50,7,2
384,Entire home/apt,350,4,2
385,Private room,98,1,19
386,Entire home/apt,280,2,0
387,Private room,60,30,0
388,Entire home/apt,690,1,2
389,Entire home/apt,160,2,1
390,Private room,70,4,1
391,Private room,99,2,5
392,Private room,79,1,59
393,Entire home/apt,239,30,0
394,Private room,110,1,1
395,Private room,100,2,1
396,Entire home/apt,125,1,6
397,Private room,80,2,69
398,Private room,85,7,14
399,Private room,45,5,30
400,Entire home/apt,175,1,37
401,Entire home/apt,215,2,0
402,Private room,55,60,0
403,Private room,85,9,5
404,Shared room,75,1,4
405,Private room,119,1,52
406,Private room,35,29,0
407,Entire home/apt,140,4,0
408,Private room,200,1,8
409,Entire home/apt,358,30,0
410,Entire home/apt,107,4,1
411,Private room,51,1,0
412,Entire home/apt,350,2,7
413,Private room,90,3,6
414,Private room,100,1,1
415,Private room,135,2,35
416,Private room,45,1,6
417,Entire home/apt,325,5,89
418,Private room,40,10,0
419,Private room,80,1,4
420,Private room,96,19,30
421,Private room,150,1,11
422,Private room,85,2,22
423,Private room,82,3,11
424,Entire home/apt,143,2,88
425,Private room,53,3,209
426,Private room,80,3,10
427,Private room,100,5,4
428,Entire home/apt,750,7,0
429,Private room,180,1,1
430,Entire home/apt,145,1,15
431,Entire home/apt,135,1,3
432,Private room,600,1,0
433,Entire home/apt,185,5,4
434,Entire home/apt,225,30,0
435,Entire home/apt,150,2,1
436,Private room,93,2,138
437,Private room,100,4,1
438,Entire home/apt,250,30,0
439,Entire home/apt,115,30,18
440,Private room,100,1,28
441,Entire home/apt,500,3,3
442,Entire home/apt,175,2,6
443,Private room,78,12,43
444,Private room,130,2,3
445,Entire home/apt,112,4,9
446,Private room,85,1,0
447,Entire home/apt,110,1,3
448,Entire home/apt,300,2,1
449,Entire home/apt,120,5,79
450,Private room,125,4,21
451,Entire home/apt,200,2,39
452,Entire home/apt,198,7,9
453,Entire home/apt,145,1,28
454,Entire home/apt,130,30,6
455,Entire home/apt,350,2,10
456,Entire home/apt,104,1,0
457,Private room,180,1,13
458,Shared room,75,1,9
459,Entire home/apt,277,3,70
460,Private room,68,2,28
461,Entire home/apt,300,2,13
462,Entire home/apt,199,4,3
463,Private room,100,1,0
464,Private room,70,2,8
465,Private room,95,2,2
466,Entire home/apt,170,1,28
467,Private room,85,2,24
468,Private room,140,7,9
469,Entire home/apt,350,30,0
470,Entire home/apt,179,5,72
471,Entire home/apt,260,2,5
472,Private room,135,4,81
473,Entire home/apt,239,30,0
474,Private room,100,1,4
475,Private room,45,7,1
476,Entire home/apt,149,3,0
477,Private room,72,1,12
478,Entire home/apt,285,2,44
479,Entire home/apt,151,2,73
480,Private room,88,1,3
481,Entire home/apt,78,2,1
482,Private room,45,1,60
483,Entire home/apt,200,1,0
484,Private room,65,1,25
485,Entire home/apt,70,1,4
486,Entire home/apt,210,2,6
487,Private room,95,5,7
488,Entire home/apt,189,30,1
489,Shared room,32,14,0
490,Entire home/apt,165,3,60
491,Entire home/apt,150,5,52
492,Entire home/apt,179,2,17
493,Entire home/apt,155,1,80
494,Entire home/apt,150,6,1
495,Private room,60,2,9
496,Entire home/apt,100,30,0
497,Entire home/apt,120,3,3
498,Entire home/apt,200,4,2
499,Entire home/apt,225,2,29
500,Entire home/apt,180,4,3
501,Entire home/apt,179,14,37
502,Private room,65,1,8
503,Entire home/apt,250,7,3
504,Entire home/apt,250,31,1
505,Entire home/apt,199,4,6
506,Entire home/apt,110,3,7
507,Entire home/apt,200,2,0
508,Entire home/apt,675,28,2
509,Private room,420,3,182
510,Entire home/apt,102,5,20
511,Entire home/apt,534,30,0
512,Private room,120,5,13
513,Shared room,35,14,0
514,Entire home/apt,229,30,0
515,Entire home/apt,160,2,5
516,Entire home/apt,125,3,2
517,Private room,250,3,33
518,Private room,95,5,1
519,Entire home/apt,500,1,0
520,Entire home/apt,499,30,70
521,Private room,70,1,7
522,Private room,164,1,143
523,Entire home/apt,97,2,2
524,Private room,80,1,38
525,Entire home/apt,194,2,8
526,Entire home/apt,220,1,0
527,Entire home/apt,180,1,0
528,Entire home/apt,200,3,2
529,Entire home/apt,133,3,38
530,Private room,100,1,3
531,Entire home/apt,315,1,0
532,Entire home/apt,263,30,0
533,Entire home/apt,400,3,2
534,Entire home/apt,118,3,29
535,Private room,390,1,21
536,Entire home/apt,265,3,111
537,Entire home/apt,275,2,0
538,Entire home/apt,200,1,12
539,Entire home/apt,250,3,94
540,Entire home/apt,96,30,5
541,Private room,195,5,19
542,Entire home/apt,300,2,1
543,Private room,60,2,1
544,Entire home/apt,285,7,0
545,Entire home/apt,650,2,41
546,Entire home/apt,160,30,6
547,Entire home/apt,80,3,3
548,Entire home/apt,130,2,5
549,Private room,180,2,1
550,Private room,69,15,19
551,Private room,100,3,2
552,Private room,50,4,2
553,Entire home/apt,140,30,2
554,Entire home/apt,269,3,0
555,Entire home/apt,200,5,0
556,Entire home/apt,312,30,0
557,Entire home/apt,206,30,1
558,Entire home/apt,189,1,7
559,Entire home/apt,200,28,35
560,Entire home/apt,300,5,10
561,Entire home/apt,200,2,38
562,Private room,150,1,0
563,Entire home/apt,130,2,210
564,Private room,70,1,16
565,Private room,100,1,0
566,Private room,65,2,93
567,Entire home/apt,160,3,20
568,Private room,78,10,0
569,Entire home/apt,179,3,3
570,Entire home/apt,325,1,66
571,Entire home/apt,300,30,0
572,Entire home/apt,179,30,0
573,Private room,118,2,259
574,Entire home/apt,75,1,107
575,Private room,79,6,31
576,Entire home/apt,200,2,5
577,Entire home/apt,330,2,119
578,Entire home/apt,350,1,0
579,Private room,125,2,1
580,Private room,69,5,33
581,Entire home/apt,130,1,77
582,Entire home/apt,180,4,28
583,Entire home/apt,1000,1,25
584,Entire home/apt,299,1,7
585,Shared room,29,1,13
586,Entire home/apt,124,2,5
587,Entire home/apt,120,6,5
588,Private room,106,1,63
589,Private room,65,1,2
590,Private room,180,2,5
591,Private room,35,3,1
592,Entire home/apt,141,6,2
593,Entire home/apt,120,1,2
594,Private room,100,3,0
595,Entire home/apt,148,4,57
596,Entire home/apt,100,30,3
597,Entire home/apt,150,5,17
598,Entire home/apt,125,2,1
599,Entire home/apt,200,2,20
600,Private room,199,1,1
601,Private room,50,7,0
602,Entire home/apt,115,2,8
603,Entire home/apt,195,4,30
604,Entire home/apt,125,50,0
605,Entire home/apt,130,6,5
606,Private room,55,5,31
607,Private room,250,1,1
608,Entire home/apt,172,3,3
609,Private room,60,15,18
610,Entire home/apt,175,1,8
611,Entire home/apt,250,2,2
612,Entire home/apt,180,1,0
613,Entire home/apt,200,3,3
614,Entire home/apt,300,5,88
615,Entire home/apt,130,4,94
616,Entire home/apt,377,30,0
617,Entire home/apt,200,2,1
618,Entire home/apt,250,5,1
619,Entire home/apt,148,4,104
620,Private room,110,2,8
621,Private room,189,1,1
622,Private room,100,2,0
623,Entire home/apt,350,1,7
624,Private room,75,14,6
625,Entire home/apt,110,1,1
626,Entire home/apt,175,3,9
627,Entire home/apt,200,14,2
628,Private room,105,1,14
629,Entire home/apt,153,2,3
630,Private room,55,7,9
631,Entire home/apt,225,1,2
632,Private room,52,3,163
633,Entire home/apt,577,2,2
634,Private room,60,1,1
635,Entire home/apt,200,3,35
636,Private room,120,1,69
637,Private room,65,30,1
638,Private room,145,6,61
639,Entire home/apt,180,3,1
640,Entire home/apt,180,1,4
641,Entire home/apt,265,29,0
642,Private room,65,3,15
643,Entire home/apt,240,1,22
644,Entire home/apt,225,3,1
645,Entire home/apt,99,2,55
646,Private room,89,5,2
647,Entire home/apt,178,9,22
648,Entire home/apt,95,3,4
649,Private room,40,1,22
650,Private room,80,1,0
651,Entire home/apt,412,30,54
652,Entire home/apt,450,4,4
653,Shared room,115,2,43
654,Entire home/apt,200,3,9
655,Entire home/apt,93,120,34
656,Entire home/apt,150,25,1
657,Private room,150,1,44
658,Entire home/apt,299,30,0
659,Private room,125,1,1
660,Private room,135,2,125
661,Entire home/apt,650,2,3
662,Entire home/apt,199,4,3
663,Private room,70,1,4
664,Private room,85,4,0
665,Entire home/apt,200,30,38
666,Entire home/apt,265,6,33
667,Entire home/apt,131,3,43
668,Private room,134,3,139
669,Entire home/apt,174,29,0
670,Entire home/apt,125,3,38
671,Entire home/apt,120,3,8
672,Entire home/apt,224,2,12
673,Entire home/apt,275,30,39
674,Private room,119,1,120
675,Private room,80,3,42
676,Entire home/apt,146,30,1
677,Private room,70,1,7
678,Private room,305,1,0
679,Entire home/apt,275,3,2
680,Entire home/apt,137,29,0
681,Private room,60,2,0
682,Entire home/apt,117,30,7
683,Private room,60,2,2
684,Private room,89,12,3
685,Entire home/apt,175,30,0
686,Private room,200,3,0
687,Entire home/apt,119,1,49
688,Entire home/apt,250,3,107
689,Private room,100,3,1
690,Entire home/apt,150,1,32
691,Entire home/apt,400,3,7
692,Entire home/apt,748,30,0
693,Private room,100,4,0
694,Entire home/apt,250,2,29
695,Entire home/apt,900,3,13
696,Entire home/apt,400,2,19
697,Entire home/apt,390,7,0
698,Private room,150,1,0
699,Entire home/apt,99,30,6
700,Private room,100,1,0
701,Entire home/apt,118,1,6
702,Entire home/apt,299,1,0
703,Entire home/apt,180,2,24
704,Entire home/apt,220,3,0
705,Private room,105,1,18
706,Entire home/apt,199,28,17
707,Private room,91,1,1
708,Entire home/apt,350,3,74
709,Entire home/apt,295,3,32
710,Entire home/apt,173,5,2
711,Private room,58,5,0
712,Private room,110,7,1
713,Entire home/apt,290,4,1
714,Entire home/apt,240,10,10
715,Entire home/apt,170,1,1
716,Private room,130,2,115
717,Entire home/apt,737,3,2
718,Entire home/apt,300,1,0
719,Entire home/apt,150,6,11
720,Private room,65,2,80
721,Private room,120,3,1
722,Entire home/apt,85,35,0
723,Entire home/apt,120,1,76
724,Entire home/apt,120,3,4
725,Private room,60,2,1
726,Entire home/apt,195,3,30
727,Entire home/apt,130,2,101
728,Private room,50,28,12
729,Entire home/apt,89,30,11
730,Entire home/apt,112,30,0
731,Private room,52,1,1
732,Entire home/apt,273,30,0
733,Private room,65,7,9
734,Entire home/apt,103,6,0
735,Entire home/apt,200,1,101
736,Entire home/apt,814,3,31
737,Private room,60,3,1
738,Entire home/apt,180,30,0
739,Entire home/apt,285,3,0
740,Entire home/apt,117,30,0
741,Entire home/apt,120,1,9
742,Private room,40,31,2
743,Entire home/apt,150,2,4
744,Entire home/apt,180,2,15
745,Entire home/apt,119,7,6
746,Entire home/apt,323,30,0
747,Entire home/apt,200,7,4
748,Entire home/apt,200,29,0
749,Entire home/apt,220,1,116
750,Private room,60,1,0
751,Entire home/apt,140,1,31
752,Private room,100,1,1
753,Entire home/apt,185,30,1
754,Entire home/apt,225,10,14
755,Entire home/apt,1500,1,0
756,Private room,60,1,34
757,Entire home/apt,136,30,9
758,Entire home/apt,500,4,1
759,Private room,100,1,14
760,Entire home/apt,100,15,0
761,Entire home/apt,399,4,3
762,Entire home/apt,714,28,0
763,Entire home/apt,236,30,0
764,Entire home/apt,225,4,27
765,Entire home/apt,65,3,9
766,Private room,95,1,9
767,Entire home/apt,295,3,0
768,Entire home/apt,228,2,29
769,Private room,70,5,0
770,Entire home/apt,164,2,2
771,Private room,85,3,34
772,Private room,85,5,2
773,Entire home/apt,200,30,1
774,Entire home/apt,325,30,155
775,Entire home/apt,183,2,3
776,Entire home/apt,210,5,3
777,Private room,64,2,8
778,Entire home/apt,175,25,49
779,Private room,54,2,72
780,Entire home/apt,220,30,0
781,Entire home/apt,255,30,5
782,Private room,95,2,6
783,Entire home/apt,140,4,3
784,Private room,50,1,2
785,Entire home/apt,99,30,12
786,Private room,93,1,0
787,Entire home/apt,199,2,18
788,Entire home/apt,222,29,0
789,Entire home/apt,77,1,1
790,Entire home/apt,170,2,1
791,Private room,69,2,60
792,Entire home/apt,375,5,3
793,Private room,100,1,0
794,Private room,120,2,4
795,Private room,65,2,0
796,Entire home/apt,249,30,0
797,Entire home/apt,285,30,0
798,Private room,350,1,0
799,Entire home/apt,83,30,1
800,Entire home/apt,175,3,5
801,Private room,115,2,72
802,Private room,105,1,239
803,Entire home/apt,150,2,0
804,Entire home/apt,350,4,17
805,Private room,80,4,2
806,Entire home/apt,350,4,0
807,Entire home/apt,390,3,3
808,Entire home/apt,200,2,0
809,Private room,71,2,64
810,Entire home/apt,138,30,2
811,Entire home/apt,142,30,9
812,Private room,395,2,0
813,Entire home/apt,350,2,16
814,Private room,100,4,117
815,Private room,65,1,178
816,Entire home/apt,150,2,39
817,Private room,45,27,0
818,Entire home/apt,250,4,15
819,Entire home/apt,140,2,44
820,Entire home/apt,210,3,3
821,Entire home/apt,300,2,0
822,Entire home/apt,110,30,7
823,Shared room,35,14,0
824,Entire home/apt,145,6,49
825,Entire home/apt,180,3,1
826,Entire home/apt,133,14,177
827,Entire home/apt,190,30,1
828,Private room,55,2,3
829,Entire home/apt,140,2,6
830,Entire home/apt,325,2,9
831,Entire home/apt,450,1,0
832,Shared room,49,2,51
833,Private room,70,2,2
834,Entire home/apt,254,1,18
835,Entire home/apt,140,2,12
836,Entire home/apt,419,4,1
837,Entire home/apt,160,5,25
838,Private room,125,2,21
839,Private room,400,7,5
840,Private room,325,3,9
841,Entire home/apt,105,30,12
842,Private room,176,2,123
843,Entire home/apt,205,30,0
844,Private room,60,30,1
845,Entire home/apt,146,18,34
846,Shared room,25,1,51
847,Entire home/apt,125,3,9
848,Entire home/apt,300,30,7
849,Entire home/apt,227,2,3
850,Entire home/apt,146,3,142
851,Private room,65,1,142
852,Private room,85,1,71
853,Private room,50,2,170
854,Entire home/apt,200,4,6
855,Entire home/apt,175,2,1
856,Private room,37,30,4
857,Entire home/apt,115,7,2
858,Shared room,65,1,44
859,Private room,61,3,21
860,Entire home/apt,118,1,2
861,Entire home/apt,200,1,1
862,Private room,85,2,95
863,Private room,59,1,0
864,Entire home/apt,190,5,21
865,Entire home/apt,189,29,0
866,Entire home/apt,199,30,4
867,Entire home/apt,135,1,225
868,Entire home/apt,179,5,32
869,Private room,80,1,0
870,Entire home/apt,249,5,8
871,Private room,135,2,79
872,Shared room,130,7,0
873,Private room,175,2,3
874,Entire home/apt,184,29,0
875,Entire home/apt,109,2,11
876,Entire home/apt,139,3,4
877,Private room,60,30,5
878,Entire home/apt,183,1,1
879,Entire home/apt,199,2,3
880,Private room,75,1,1
881,Entire home/apt,120,20,4
882,Entire home/apt,150,1,0
883,Private room,125,2,61
884,Private room,50,2,6
885,Entire home/apt,135,4,0
886,Entire home/apt,259,30,0
887,Private room,115,1,75
888,Entire home/apt,165,30,0
889,Entire home/apt,140,1,25
890,Private room,170,1,3
891,Entire home/apt,150,30,0
892,Entire home/apt,240,2,0
893,Entire home/apt,200,1,0
894,Entire home/apt,170,3,9
895,Entire home/apt,175,2,31
896,Entire home/apt,110,2,0
897,Entire home/apt,200,1,28
898,Private room,50,2,0
899,Private room,375,1,2
900,Private room,50,3,242
901,Private room,90,1,0
902,Private room,50,1,3
903,Private room,175,3,0
904,Private room,89,5,11
905,Entire home/apt,150,5,5
906,Private room,200,1,2
907,Private room,140,14,1
908,Private room,75,1,4
909,Entire home/apt,125,6,5
910,Private room,99,1,1
911,Entire home/apt,90,30,3
912,Entire home/apt,115,30,1
913,Entire home/apt,80,2,3
914,Entire home/apt,150,14,1
915,Private room,65,4,109
916,Private room,100,2,199
917,Entire home/apt,575,1,447
918,Entire home/apt,95,7,0
919,Entire home/apt,267,30,0
920,Private room,60,1,5
921,Entire home/apt,175,1,5
922,Entire home/apt,159,3,1
923,Entire home/apt,255,5,2
924,Entire home/apt,295,30,2
925,Entire home/apt,340,2,0
926,Entire home/apt,185,2,16
927,Entire home/apt,500,3,0
928,Private room,55,1,163
929,Private room,129,1,11
930,Entire home/apt,175,3,5
931,Entire home/apt,189,2,68
932,Entire home/apt,125,30,4
933,Entire home/apt,150,30,1
934,Entire home/apt,145,3,8
935,Entire home/apt,500,1,0
936,Entire home/apt,250,2,4
937,Entire home/apt,150,4,111
938,Entire home/apt,150,1,7
939,Entire home/apt,219,30,0
940,Private room,100,1,0
941,Entire home/apt,200,1,46
942,Private room,50,14,1
943,Private room,99,2,21
944,Private room,95,1,2
945,Private room,30,5,2
946,Private room,120,1,18
947,Entire home/apt,350,5,4
948,Entire home/apt,150,3,41
949,Private room,420,2,0
950,Private room,100,2,151
951,Entire home/apt,650,30,0
952,Entire home/apt,90,1,17
953,Entire home/apt,200,2,47
954,Entire home/apt,120,19,5
955,Private room,80,14,0
956,Private room,79,5,1
957,Entire home/apt,124,1,13
958,Private room,95,1,2
959,Entire home/apt,260,1,0
960,Entire home/apt,100,2,1
961,Entire home/apt,125,28,183
962,Private room,55,21,7
963,Entire home/apt,133,30,0
964,Private room,50,1,3
