neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
Midtown,40.7606,-73.97181,Private room,86,1,3
Hell's Kitchen,40.76663,-73.9895,Entire home/apt,150,1,3
Lower East Side,40.71814,-73.99166,Private room,75,10,17
Midtown,40.76448,-73.97907,Private room,70,1,1
Washington Heights,40.85509,-73.93744,Entire home/apt,150,30,0
Harlem,40.82173,-73.94831,Entire home/apt,130,2,7
Lower East Side,40.71973,-73.98993,Private room,110,14,2
Upper West Side,40.77969,-73.97862,Private room,95,3,16
Midtown,40.76434,-73.98199,Entire home/apt,300,4,0
Hell's Kitchen,40.76522,-73.99486,Entire home/apt,250,2,6
Harlem,40.80269,-73.94637,Private room,60,3,11
Washington Heights,40.84959,-73.93911,Private room,75,2,4
Chelsea,40.74826,-73.98928,Entire home/apt,159,4,3
Upper East Side,40.76513,-73.96583,Entire home/apt,160,5,14
Upper West Side,40.79481,-73.97432,Entire home/apt,150,1,20
Hell's Kitchen,40.75431,-73.99459,Entire home/apt,185,3,1
Morningside Heights,40.80395,-73.96436,Entire home/apt,600,1,0
East Village,40.72919,-73.97894,Entire home/apt,150,2,1
Hell's Kitchen,40.76557,-73.9909,Private room,185,4,1
Gramercy,40.7358,-73.9806,Entire home/apt,160,3,6
Upper East Side,40.77948,-73.95152,Entire home/apt,200,2,1
East Village,40.72853,-73.98619,Private room,100,1,212
Upper West Side,40.77547,-73.98154,Entire home/apt,225,4,10
Chinatown,40.71848,-73.99549,Private room,80,3,153
Upper West Side,40.78116,-73.98104,Entire home/apt,175,1,11
Hell's Kitchen,40.76125,-73.98945,Entire home/apt,134,1,81
Washington Heights,40.85677,-73.93715,Private room,70,3,14
Hell's Kitchen,40.76152,-73.98959,Private room,91,1,32
Lower East Side,40.71734,-73.99071,Private room,75,3,1
East Harlem,40.80266,-73.93904,Private room,44,30,3
Chelsea,40.74458,-74.00644,Shared room,180,1,0
Harlem,40.82896,-73.94223,Private room,50,1,2
Morningside Heights,40.80466,-73.96529,Private room,55,4,3
Harlem,40.82457,-73.94984,Private room,42,2,3
Financial District,40.70471,-74.0087,Entire home/apt,160,2,3
Midtown,40.74933,-73.98467,Entire home/apt,600,2,1
Harlem,40.82112,-73.94962,Entire home/apt,150,1,7
Kips Bay,40.74214,-73.98048,Private room,117,7,1
Upper West Side,40.79794,-73.97188,Private room,40,1,14
Lower East Side,40.71977,-73.98423,Private room,128,1,0
Chelsea,40.74787,-74.00088,Entire home/apt,750,30,42
Washington Heights,40.83799,-73.94036,Private room,50,2,43
Financial District,40.70402,-74.01572,Private room,120,2,11
Washington Heights,40.84901,-73.93859,Entire home/apt,90,12,1
Kips Bay,40.73865,-73.9788,Private room,130,1,11
Upper West Side,40.78762,-73.96827,Entire home/apt,325,7,0
Upper East Side,40.77574,-73.94638,Entire home/apt,120,3,20
Upper East Side,40.76141,-73.96273,Private room,69,60,43
East Village,40.72714,-73.98279,Private room,70,1,129
Harlem,40.80761,-73.95416,Entire home/apt,160,1,41
Midtown,40.75417,-73.96437,Entire home/apt,250,3,21
Harlem,40.81086,-73.94037,Entire home/apt,76,14,2
Upper West Side,40.77734,-73.9877,Entire home/apt,100,29,3
Financial District,40.70721,-74.01044,Entire home/apt,252,2,12
Harlem,40.80672,-73.95404,Private room,80,5,0
Chelsea,40.73974,-73.99563,Private room,80,3,0
NoHo,40.72612,-73.99494,Entire home/apt,325,2,5
East Village,40.72354,-73.98295,Entire home/apt,195,3,30
Midtown,40.75359,-73.97305,Private room,175,2,2
Little Italy,40.71878,-73.99808,Entire home/apt,202,1,0
Harlem,40.81949,-73.95676,Entire home/apt,140,5,7
Hell's Kitchen,40.76609,-73.99305,Private room,150,3,0
Upper West Side,40.79577,-73.97403,Private room,66,6,6
Harlem,40.82722,-73.9457,Entire home/apt,78,6,4
Financial District,40.70584,-74.01039,Entire home/apt,215,2,3
Lower East Side,40.72165,-73.98573,Entire home/apt,160,2,6
Harlem,40.82388,-73.95527,Private room,40,8,29
Midtown,40.75379,-73.96433,Entire home/apt,190,30,1
Murray Hill,40.74882,-73.98041,Entire home/apt,150,30,0
Midtown,40.7654,-73.98039,Entire home/apt,160,2,3
Upper East Side,40.77372,-73.94986,Entire home/apt,120,1,6
SoHo,40.72177,-74.00356,Entire home/apt,760,14,1
Chelsea,40.74453,-73.99196,Private room,150,1,4
Midtown,40.75136,-73.97076,Private room,349,3,3
Hell's Kitchen,40.76039,-73.99028,Entire home/apt,399,2,80
Upper West Side,40.76946,-73.986,Entire home/apt,129,3,2
Lower East Side,40.72131,-73.98541,Entire home/apt,100,3,1
Hell's Kitchen,40.75578,-73.99523,Private room,146,2,26
Upper East Side,40.77257,-73.94616,Private room,48,30,7
Midtown,40.75004,-73.97089,Entire home/apt,115,30,5
East Harlem,40.79018,-73.94689,Entire home/apt,270,4,171
Financial District,40.70857,-74.01005,Entire home/apt,140,2,76
East Village,40.7267,-73.97965,Entire home/apt,205,1,1
Chinatown,40.71668,-73.99073,Entire home/apt,150,2,162
Harlem,40.80604,-73.94971,Entire home/apt,83,30,6
West Village,40.73267,-74.00379,Private room,140,3,64
Midtown,40.74642,-73.98516,Entire home/apt,220,3,108
Nolita,40.72315,-73.99507,Entire home/apt,129,2,6
Two Bridges,40.71253,-73.99586,Private room,50,7,3
Kips Bay,40.7441,-73.97683,Entire home/apt,170,30,0
Greenwich Village,40.72848,-74.00269,Entire home/apt,300,1,8
Upper East Side,40.77299,-73.95745,Entire home/apt,119,30,3
Morningside Heights,40.80902,-73.96716,Private room,65,3,1
East Village,40.72816,-73.98843,Private room,163,2,396
East Harlem,40.79496,-73.94838,Entire home/apt,140,2,4
Upper East Side,40.763,-73.96044,Entire home/apt,275,3,1
East Harlem,40.8009,-73.94333,Private room,60,3,86
Hell's Kitchen,40.76382,-73.98815,Entire home/apt,117,30,1
Hell's Kitchen,40.76206,-73.99775,Entire home/apt,300,3,2
Greenwich Village,40.7324,-73.99708,Entire home/apt,300,5,0
SoHo,40.7244,-74.00681,Entire home/apt,500,2,0
Midtown,40.75455,-73.9695,Private room,125,1,8
Upper West Side,40.80155,-73.96498,Entire home/apt,120,2,4
Two Bridges,40.7116,-73.99568,Entire home/apt,175,2,8
Harlem,40.81221,-73.94225,Private room,47,30,1
East Village,40.7269,-73.98368,Entire home/apt,128,4,2
East Harlem,40.79505,-73.94361,Entire home/apt,220,2,140
Lower East Side,40.71867,-73.98959,Private room,78,2,46
Harlem,40.79841,-73.95257,Private room,72,2,27
Harlem,40.82375,-73.94426,Private room,43,30,1
East Village,40.72552,-73.97879,Entire home/apt,165,2,13
Harlem,40.81238,-73.95319,Private room,69,2,128
Murray Hill,40.74917,-73.97549,Entire home/apt,200,2,0
Hell's Kitchen,40.75753,-73.99701,Private room,199,1,25
West Village,40.72999,-74.00475,Entire home/apt,110,5,9
East Village,40.72425,-73.98976,Entire home/apt,115,10,4
Midtown,40.7652,-73.98174,Entire home/apt,225,30,1
Harlem,40.80403,-73.95615,Entire home/apt,200,2,6
Hell's Kitchen,40.76075,-73.99837,Entire home/apt,1500,30,0
Financial District,40.70521,-74.00678,Private room,100,1,0
Gramercy,40.73517,-73.98176,Private room,120,2,3
Harlem,40.81083,-73.95248,Private room,69,2,0
Upper East Side,40.77176,-73.94943,Entire home/apt,115,2,2
East Village,40.72814,-73.97995,Private room,85,1,4
West Village,40.73514,-73.99954,Entire home/apt,197,14,29
Harlem,40.80114,-73.95696,Private room,90,2,32
East Village,40.72704,-73.98916,Private room,55,30,0
Tribeca,40.72075,-74.00982,Private room,80,1,0
Midtown,40.76402,-73.97453,Private room,233,2,0
Harlem,40.81711,-73.93563,Private room,51,2,21
Kips Bay,40.73909,-73.9788,Private room,70,15,0
Hell's Kitchen,40.76062,-73.99349,Entire home/apt,209,1,0
Theater District,40.75491,-73.98507,Private room,100,1,3
SoHo,40.72735,-74.00131,Private room,89,1,3
East Village,40.72853,-73.98762,Private room,115,2,6
Upper West Side,40.79896,-73.96183,Private room,110,3,5
Upper West Side,40.78747,-73.96844,Private room,59,1,0
Lower East Side,40.71746,-73.98782,Private room,89,5,4
Kips Bay,40.74108,-73.97788,Entire home/apt,245,30,0
Upper West Side,40.79307,-73.97449,Entire home/apt,118,1,2
Upper East Side,40.77233,-73.95627,Entire home/apt,103,30,3
Midtown,40.74677,-73.9866,Private room,100,1,13
Harlem,40.80968,-73.94425,Private room,99,1,31
Upper West Side,40.78561,-73.97637,Entire home/apt,299,3,57
Lower East Side,40.71984,-73.9865,Entire home/apt,249,3,0
Upper East Side,40.77315,-73.95848,Entire home/apt,210,3,0
Chinatown,40.71879,-73.99586,Entire home/apt,99,2,4
Upper East Side,40.77421,-73.95361,Entire home/apt,250,4,0
Harlem,40.83021,-73.94765,Private room,60,2,0
Midtown,40.75734,-73.96429,Private room,82,15,3
Hell's Kitchen,40.76299,-73.99478,Entire home/apt,400,3,1
Murray Hill,40.74785,-73.96967,Private room,195,11,0
West Village,40.73207,-74.01087,Entire home/apt,270,4,1
East Village,40.7316,-73.98543,Entire home/apt,297,1,9
East Harlem,40.79383,-73.94968,Private room,85,1,98
Hell's Kitchen,40.76116,-73.99016,Private room,120,2,17
Midtown,40.75604,-73.9681,Entire home/apt,185,1,2
Upper West Side,40.79982,-73.96411,Private room,89,4,1
Midtown,40.75726,-73.96671,Entire home/apt,180,28,0
Washington Heights,40.85167,-73.92868,Entire home/apt,350,3,8
Chelsea,40.74679,-74.00263,Private room,115,1,3
Upper West Side,40.76877,-73.9846,Entire home/apt,87,30,3
East Harlem,40.78551,-73.94167,Entire home/apt,99,3,4
West Village,40.73086,-74.00507,Private room,105,2,111
Upper West Side,40.79672,-73.96169,Entire home/apt,150,2,29
Greenwich Village,40.73056,-73.99357,Entire home/apt,99,1,0
Upper East Side,40.77065,-73.95495,Entire home/apt,100,3,18
Harlem,40.81296,-73.94625,Entire home/apt,265,2,76
Murray Hill,40.74987,-73.97293,Entire home/apt,200,1,0
SoHo,40.72254,-73.99985,Private room,100,1,0
Hell's Kitchen,40.7586,-73.98974,Private room,97,2,144
Gramercy,40.73558,-73.9852,Entire home/apt,150,30,1
Inwood,40.86529,-73.92213,Private room,55,1,28
Harlem,40.82722,-73.9431,Private room,100,4,42
Upper West Side,40.77104,-73.98522,Entire home/apt,190,30,6
West Village,40.73723,-74.00845,Entire home/apt,214,1,8
Midtown,40.74789,-73.98702,Entire home/apt,220,4,10
Hell's Kitchen,40.76212,-73.99756,Entire home/apt,534,30,0
Midtown,40.75754,-73.96177,Entire home/apt,275,3,0
Upper East Side,40.76408,-73.95686,Entire home/apt,250,1,12
East Village,40.72951,-73.98239,Private room,90,1,200
Lower East Side,40.71852,-73.99067,Private room,129,3,12
Gramercy,40.73395,-73.9821,Entire home/apt,135,14,2
Midtown,40.75283,-73.96675,Entire home/apt,699,3,3
Washington Heights,40.85394,-73.92972,Private room,50,1,14
Murray Hill,40.74787,-73.97457,Entire home/apt,202,29,0
Greenwich Village,40.72817,-73.9958,Private room,125,3,7
Midtown,40.75613,-73.97056,Private room,425,1,3
Chelsea,40.74101,-73.99471,Entire home/apt,215,2,12
Harlem,40.80646,-73.9517,Private room,1500,2,0
Chelsea,40.74873,-73.99557,Entire home/apt,93,365,10
East Harlem,40.7958,-73.93186,Entire home/apt,280,2,53
Chelsea,40.7476,-73.99348,Private room,130,2,21
Hell's Kitchen,40.75718,-73.99245,Private room,140,2,4
Upper East Side,40.77713,-73.95309,Entire home/apt,95,4,3
Upper West Side,40.79908,-73.96465,Private room,50,7,2
East Village,40.72213,-73.98122,Entire home/apt,350,4,2
Chelsea,40.75272,-73.99682,Private room,98,1,19
Upper East Side,40.77389,-73.951,Entire home/apt,280,2,0
Upper West Side,40.79812,-73.96082,Private room,60,30,0
Kips Bay,40.74142,-73.98219,Entire home/apt,690,1,2
Washington Heights,40.85257,-73.94161,Entire home/apt,160,2,1
Upper East Side,40.77275,-73.94917,Private room,70,4,1
Hell's Kitchen,40.75429,-73.99198,Private room,99,2,5
Upper West Side,40.79103,-73.97632,Private room,79,1,59
Hell's Kitchen,40.76685,-73.98363,Entire home/apt,239,30,0
Upper West Side,40.7987,-73.9621,Private room,110,1,1
Chelsea,40.74194,-73.99914,Private room,100,2,1
Washington Heights,40.85845,-73.92861,Entire home/apt,125,1,6
Harlem,40.80526,-73.95509,Private room,80,2,69
Upper West Side,40.8013,-73.96669,Private room,85,7,14
Inwood,40.86859,-73.91948,Private room,45,5,30
Upper West Side,40.79951,-73.96436,Entire home/apt,175,1,37
Upper West Side,40.78707,-73.9769,Entire home/apt,215,2,0
Harlem,40.80577,-73.9448,Private room,55,60,0
Murray Hill,40.74763,-73.97316,Private room,85,9,5
Hell's Kitchen,40.76612,-73.98749,Shared room,75,1,4
Hell's Kitchen,40.76457,-73.99082,Private room,119,1,52
Inwood,40.86507,-73.92348,Private room,35,29,0
Harlem,40.80136,-73.95476,Entire home/apt,140,4,0
Chelsea,40.74512,-73.99179,Private room,200,1,8
Tribeca,40.71626,-74.00694,Entire home/apt,358,30,0
Hell's Kitchen,40.769,-73.98757,Entire home/apt,107,4,1
Harlem,40.81955,-73.95587,Private room,51,1,0
East Village,40.7254,-73.98157,Entire home/apt,350,2,7
Harlem,40.80367,-73.94803,Private room,90,3,6
Upper West Side,40.79806,-73.96167,Private room,100,1,1
Kips Bay,40.74256,-73.97912,Private room,135,2,35
Washington Heights,40.83873,-73.94118,Private room,45,1,6
Harlem,40.80903,-73.94197,Entire home/apt,325,5,89
Lower East Side,40.71909,-73.9865,Private room,40,10,0
East Village,40.72713,-73.98402,Private room,80,1,4
Chinatown,40.71328,-73.99315,Private room,96,19,30
Upper East Side,40.77202,-73.95821,Private room,150,1,11
Chelsea,40.73887,-74.00011,Private room,85,2,22
East Village,40.72174,-73.98418,Private room,82,3,11
Upper East Side,40.78281,-73.94516,Entire home/apt,143,2,88
Washington Heights,40.83333,-73.94182,Private room,53,3,209
Harlem,40.80708,-73.95211,Private room,80,3,10
East Village,40.73226,-73.98688,Private room,100,5,4
Tribeca,40.71734,-74.00858,Entire home/apt,750,7,0
Financial District,40.70822,-74.00885,Private room,180,1,1
Upper East Side,40.77138,-73.94973,Entire home/apt,145,1,15
Hell's Kitchen,40.75427,-73.9928,Entire home/apt,135,1,3
Upper West Side,40.76986,-73.98197,Private room,600,1,0
Lower East Side,40.71484,-73.98977,Entire home/apt,185,5,4
Midtown,40.76575,-73.98168,Entire home/apt,225,30,0
Chelsea,40.73986,-74.00035,Entire home/apt,150,2,1
Harlem,40.81968,-73.95353,Private room,93,2,138
Morningside Heights,40.80504,-73.96454,Private room,100,4,1
Upper East Side,40.76969,-73.95509,Entire home/apt,250,30,0
Hell's Kitchen,40.75679,-73.99547,Entire home/apt,115,30,18
Upper West Side,40.79728,-73.97348,Private room,100,1,28
SoHo,40.7244,-73.99763,Entire home/apt,500,3,3
Upper West Side,40.77212,-73.98641,Entire home/apt,175,2,6
Midtown,40.75967,-73.96595,Private room,78,12,43
Hell's Kitchen,40.76764,-73.98468,Private room,130,2,3
Harlem,40.81915,-73.9425,Entire home/apt,112,4,9
Flatiron District,40.74095,-73.98554,Private room,85,1,0
Morningside Heights,40.81633,-73.96147,Entire home/apt,110,1,3
East Village,40.72369,-73.98998,Entire home/apt,300,2,1
East Harlem,40.7884,-73.94533,Entire home/apt,120,5,79
East Village,40.72301,-73.98347,Private room,125,4,21
East Village,40.72795,-73.98567,Entire home/apt,200,2,39
East Village,40.72338,-73.98293,Entire home/apt,198,7,9
Harlem,40.8197,-73.94576,Entire home/apt,145,1,28
Hell's Kitchen,40.76295,-73.99432,Entire home/apt,130,30,6
Chelsea,40.74183,-73.99878,Entire home/apt,350,2,10
Murray Hill,40.74637,-73.97469,Entire home/apt,104,1,0
Harlem,40.81303,-73.95285,Private room,180,1,13
Hell's Kitchen,40.76404,-73.98873,Shared room,75,1,9
Murray Hill,40.75048,-73.97776,Entire home/apt,277,3,70
Harlem,40.82375,-73.95379,Private room,68,2,28
Greenwich Village,40.72836,-73.99961,Entire home/apt,300,2,13
East Village,40.72626,-73.9894,Entire home/apt,199,4,3
Hell's Kitchen,40.76714,-73.99229,Private room,100,1,0
Kips Bay,40.74047,-73.98381,Private room,70,2,8
East Village,40.72696,-73.98406,Private room,95,2,2
Harlem,40.81863,-73.95771,Entire home/apt,170,1,28
Washington Heights,40.84203,-73.93985,Private room,85,2,24
Upper East Side,40.77756,-73.94859,Private room,140,7,9
Murray Hill,40.74422,-73.97261,Entire home/apt,350,30,0
East Village,40.72402,-73.98771,Entire home/apt,179,5,72
