id,room_type,price,minimum_nights,number_of_reviews
130,Entire home/apt,200,30,40
131,Entire home/apt,150,2,16
132,Entire home/apt,195,5,0
133,Entire home/apt,92,10,5
134,Entire home/apt,225,1,0
135,Entire home/apt,162,4,0
136,Entire home/apt,399,3,3
137,Private room,139,2,2
138,Private room,100,2,17
139,Entire home/apt,185,29,3
140,Shared room,100,1,0
141,Entire home/apt,240,29,2
142,Entire home/apt,185,3,5
143,Private room,48,7,15
144,Entire home/apt,150,2,3
145,Entire home/apt,150,18,0
146,Entire home/apt,130,31,8
147,Entire home/apt,170,2,6
148,Entire home/apt,200,1,1
149,Entire home/apt,200,1,66
150,Entire home/apt,170,3,7
151,Entire home/apt,200,5,0
152,Private room,200,1,1
153,Entire home/apt,150,1,58
154,Entire home/apt,252,2,6
155,Entire home/apt,255,2,6
156,Entire home/apt,150,1,0
157,Private room,85,2,0
158,Entire home/apt,175,1,21
159,Entire home/apt,100,1,0
160,Entire home/apt,115,3,11
161,Private room,67,2,0
162,Private room,95,30,9
163,Entire home/apt,175,3,99
164,Entire home/apt,1500,2,3
165,Entire home/apt,252,3,5
166,Entire home/apt,200,2,0
167,Private room,81,7,3
168,Entire home/apt,110,3,64
169,Private room,120,2,11
170,Private room,100,1,36
171,Entire home/apt,125,3,28
172,Shared room,99,11,10
173,Entire home/apt,190,2,12
174,Entire home/apt,345,1,9
175,Entire home/apt,150,6,7
176,Entire home/apt,75,4,9
177,Private room,65,3,39
178,Entire home/apt,128,3,79
179,Private room,75,1,25
180,Private room,120,2,4
181,Private room,190,2,3
182,Private room,50,30,15
183,Private room,450,1,0
184,Entire home/apt,226,30,0
185,Entire home/apt,175,3,8
186,Entire home/apt,300,2,2
187,Private room,124,3,17
188,Entire home/apt,145,125,0
189,Private room,80,1,39
190,Entire home/apt,100,5,27
191,Entire home/apt,180,4,63
192,Private room,30,1,3
193,Private room,35,2,98
194,Entire home/apt,100,2,35
195,Entire home/apt,139,1,3
196,Private room,170,1,0
197,Entire home/apt,100,5,2
198,Entire home/apt,180,5,190
199,Private room,80,2,2
200,Entire home/apt,100,3,44
201,Private room,165,5,1
202,Private room,146,1,0
203,Entire home/apt,270,5,0
204,Private room,110,1,1
205,Private room,80,3,0
206,Private room,150,1,310
207,Entire home/apt,150,1,1
208,Entire home/apt,115,1,20
209,Private room,80,1,7
210,Entire home/apt,310,35,5
211,Entire home/apt,450,1,4
212,Private room,130,1,172
213,Private room,200,2,47
214,Private room,89,1,0
215,Entire home/apt,250,2,2
216,Private room,250,3,58
217,Private room,150,4,18
218,Entire home/apt,295,5,45
219,Entire home/apt,99,1,1
220,Entire home/apt,74,3,0
221,Entire home/apt,65,1,5
222,Shared room,115,1,6
223,Private room,100,2,0
224,Private room,100,3,107
225,Entire home/apt,135,4,23
226,Entire home/apt,125,2,10
227,Private room,105,5,16
228,Private room,119,365,17
229,Private room,50,30,1
230,Entire home/apt,275,2,50
231,Private room,90,3,27
232,Private room,90,4,0
233,Private room,85,2,2
234,Entire home/apt,175,1,145
235,Entire home/apt,200,30,22
236,Private room,192,2,76
237,Entire home/apt,170,3,77
238,Entire home/apt,549,30,0
239,Entire home/apt,149,7,4
240,Private room,110,1,11
241,Entire home/apt,278,5,8
242,Shared room,65,2,17
243,Private room,90,1,0
244,Entire home/apt,150,3,1
245,Entire home/apt,195,3,55
246,Private room,150,3,1
247,Private room,99,1,17
248,Private room,65,5,9
249,Private room,100,2,123
250,Private room,95,4,3
251,Entire home/apt,100,2,2
252,Entire home/apt,248,2,8
253,Private room,169,2,13
254,Entire home/apt,73,1,0
255,Entire home/apt,120,1,7
256,Entire home/apt,119,2,0
257,Entire home/apt,225,7,2
258,Private room,250,1,0
259,Entire home/apt,249,3,8
260,Private room,78,3,116
261,Entire home/apt,100,30,0
262,Private room,900,21,121
263,Entire home/apt,139,30,1
264,Entire home/apt,250,30,19
265,Entire home/apt,160,5,8
266,Private room,120,1,8
267,Private room,80,4,11
268,Private room,172,1,20
269,Entire home/apt,212,3,11
270,Private room,100,3,105
271,Entire home/apt,175,1,2
272,Entire home/apt,339,30,1
273,Entire home/apt,320,2,1
274,Entire home/apt,238,2,39
275,Entire home/apt,260,1,9
276,Private room,78,1,13
277,Private room,64,2,36
278,Private room,99,3,1
279,Entire home/apt,113,30,3
280,Entire home/apt,195,160,0
281,Entire home/apt,299,2,45
282,Private room,100,1,10
283,Private room,400,1,75
284,Private room,149,3,0
285,Entire home/apt,255,3,85
286,Entire home/apt,675,30,0
287,Private room,145,10,13
288,Entire home/apt,271,3,6
289,Entire home/apt,400,30,1
290,Private room,70,20,2
291,Private room,80,2,44
292,Private room,35,2,1
293,Entire home/apt,225,3,73
294,Private room,50,2,70
295,Entire home/apt,220,2,12
296,Private room,70,1,77
297,Entire home/apt,250,4,1
298,Private room,50,1,18
299,Entire home/apt,300,2,238
300,Entire home/apt,96,2,10
301,Private room,139,1,1
302,Private room,100,14,9
303,Entire home/apt,299,2,37
304,Entire home/apt,279,30,0
305,Entire home/apt,299,3,200
306,Entire home/apt,419,30,0
307,Entire home/apt,175,30,4
308,Private room,119,90,1
309,Entire home/apt,130,61,1
310,Private room,280,4,17
311,Entire home/apt,325,4,5
312,Entire home/apt,130,30,3
313,Shared room,39,1,221
314,Entire home/apt,275,3,5
315,Entire home/apt,200,30,11
316,Private room,150,1,3
317,Private room,87,2,39
318,Private room,99,14,45
319,Private room,138,30,5
320,Private room,190,3,6
321,Private room,150,2,27
322,Shared room,75,30,13
323,Entire home/apt,300,30,0
324,Entire home/apt,130,1,0
325,Shared room,85,1,61
326,Entire home/apt,388,6,40
327,Entire home/apt,125,10,32
328,Entire home/apt,116,2,8
329,Private room,420,1,10
330,Entire home/apt,95,3,75
331,Entire home/apt,220,6,7
332,Private room,97,1,0
333,Private room,130,3,197
334,Entire home/apt,160,30,43
335,Private room,99,2,17
336,Private room,155,1,91
337,Entire home/apt,297,30,0
338,Entire home/apt,120,30,11
339,Entire home/apt,173,14,23
340,Entire home/apt,975,3,10
341,Entire home/apt,240,4,4
342,Entire home/apt,264,28,1
343,Entire home/apt,130,2,6
344,Entire home/apt,200,7,0
345,Private room,50,3,4
346,Entire home/apt,425,4,18
347,Private room,69,65,24
348,Entire home/apt,157,30,0
349,Entire home/apt,300,5,0
350,Private room,90,1,2
351,Entire home/apt,100,15,0
352,Private room,80,2,133
353,Private room,3000,1,30
354,Private room,120,1,69
355,Private room,70,7,0
356,Entire home/apt,219,30,3
357,Entire home/apt,190,2,6
358,Shared room,80,1,91
359,Entire home/apt,300,5,0
360,Private room,85,4,13
361,Private room,85,1,1
362,Entire home/apt,380,3,177
363,Private room,100,3,32
364,Private room,110,1,0
365,Entire home/apt,450,3,0
366,Entire home/apt,400,2,5
367,Entire home/apt,200,11,30
368,Shared room,160,2,0
369,Entire home/apt,130,2,67
370,Entire home/apt,250,3,41
371,Entire home/apt,677,5,0
372,Private room,100,2,1
373,Entire home/apt,237,2,6
374,Entire home/apt,199,4,12
375,Entire home/apt,294,30,18
376,Entire home/apt,500,3,16
377,Entire home/apt,105,13,18
378,Entire home/apt,498,2,0
379,Entire home/apt,150,30,2
380,Private room,100,3,32
381,Entire home/apt,180,3,0
382,Entire home/apt,545,31,0
383,Entire home/apt,80,1,0
384,Entire home/apt,285,1,1
385,Entire home/apt,149,360,0
386,Entire home/apt,300,3,1
387,Private room,80,9,1
388,Private room,248,28,2
389,Private room,90,2,3
390,Entire home/apt,181,1,52
391,Private room,175,2,7
392,Entire home/apt,160,2,70
393,Private room,99,1,0
394,Entire home/apt,355,30,1
395,Private room,115,1,128
396,Private room,144,3,38
397,Entire home/apt,100,30,2
398,Private room,129,1,9
399,Private room,55,2,7
400,Entire home/apt,230,2,1
401,Entire home/apt,175,2,0
402,Private room,110,2,8
403,Entire home/apt,200,30,0
404,Entire home/apt,349,30,0
405,Entire home/apt,398,1,8
406,Entire home/apt,50,5,36
407,Private room,99,1,85
408,Private room,120,3,1
409,Entire home/apt,120,30,2
410,Private room,97,2,100
411,Private room,72,3,14
412,Private room,600,1,38
413,Entire home/apt,600,5,24
414,Private room,137,6,31
415,Shared room,55,1,1
416,Private room,70,1,0
417,Entire home/apt,150,3,19
418,Private room,75,2,7
419,Private room,115,7,27
420,Entire home/apt,180,1,5
421,Entire home/apt,158,30,4
422,Entire home/apt,170,2,95
423,Entire home/apt,280,2,10
424,Private room,120,1,7
425,Private room,69,1,0
426,Private room,75,1,1
427,Private room,100,90,0
428,Entire home/apt,1300,3,7
429,Entire home/apt,190,7,0
430,Entire home/apt,250,2,1
431,Shared room,125,1,5
432,Entire home/apt,199,31,105
433,Entire home/apt,101,3,32
434,Entire home/apt,348,30,0
435,Entire home/apt,195,4,66
436,Private room,68,11,7
437,Entire home/apt,399,11,87
438,Private room,135,1,83
439,Private room,123,18,131
440,Entire home/apt,260,3,6
441,Entire home/apt,140,2,19
442,Private room,200,1,103
443,Entire home/apt,175,1,1
444,Entire home/apt,250,3,11
445,Private room,85,3,98
446,Entire home/apt,165,5,5
447,Entire home/apt,180,2,7
448,Entire home/apt,525,5,0
449,Private room,52,30,1
450,Private room,99,6,0
451,Entire home/apt,130,2,20
452,Private room,75,1,1
453,Entire home/apt,120,2,46
454,Entire home/apt,150,1,58
455,Entire home/apt,350,23,9
456,Entire home/apt,195,5,9
457,Private room,85,1,1
458,Entire home/apt,365,2,4
459,Entire home/apt,92,30,8
460,Private room,100,5,1
461,Entire home/apt,196,1,21
462,Entire home/apt,257,3,0
463,Private room,200,8,0
464,Shared room,80,1,4
465,Entire home/apt,208,4,4
466,Private room,50,7,17
467,Entire home/apt,69,5,28
468,Entire home/apt,100,31,7
469,Entire home/apt,200,2,8
470,Private room,125,1,0
471,Entire home/apt,125,3,77
472,Entire home/apt,199,30,12
473,Entire home/apt,130,30,1
474,Private room,85,7,0
475,Private room,70,3,1
476,Private room,150,1,34
477,Private room,65,5,1
478,Entire home/apt,190,1,0
479,Entire home/apt,235,3,36
480,Private room,83,1,6
481,Entire home/apt,90,5,3
482,Entire home/apt,88,2,84
483,Entire home/apt,149,1,1
484,Entire home/apt,155,2,16
485,Private room,59,2,1
486,Entire home/apt,235,3,0
487,Entire home/apt,100,2,113
488,Private room,90,10,2
489,Shared room,83,100,1
490,Entire home/apt,145,4,1
491,Private room,115,2,0
492,Entire home/apt,170,3,8
493,Entire home/apt,220,3,9
494,Private room,80,1,0
495,Entire home/apt,130,3,34
496,Entire home/apt,90,1,0
497,Private room,60,1,8
498,Entire home/apt,425,3,47
499,Private room,120,2,4
500,Entire home/apt,199,3,30
501,Private room,210,5,9
502,Private room,82,3,294
503,Entire home/apt,115,15,3
504,Entire home/apt,125,30,4
505,Entire home/apt,119,1,160
506,Shared room,99,1,0
507,Private room,87,15,2
508,Entire home/apt,90,30,53
509,Private room,125,2,96
510,Entire home/apt,75,10,80
511,Entire home/apt,149,30,0
512,Entire home/apt,150,31,0
513,Private room,60,2,49
514,Private room,150,2,7
515,Private room,140,1,137
516,Entire home/apt,150,4,3
517,Entire home/apt,396,7,11
518,Entire home/apt,550,2,5
519,Entire home/apt,299,3,9
520,Entire home/apt,100,1,0
521,Private room,79,2,3
522,Entire home/apt,50,3,10
523,Private room,80,1,0
524,Private room,130,1,6
525,Entire home/apt,449,2,2
526,Entire home/apt,180,5,0
527,Entire home/apt,185,4,1
528,Private room,62,1,31
529,Private room,155,1,0
530,Private room,70,1,6
531,Private room,122,1,1
532,Private room,225,2,21
533,Private room,100,2,23
534,Entire home/apt,165,1,6
535,Private room,180,1,1
536,Entire home/apt,399,2,0
537,Private room,99,1,2
538,Private room,100,6,2
539,Entire home/apt,130,7,7
540,Entire home/apt,100,4,0
541,Entire home/apt,190,2,73
542,Private room,60,2,35
543,Private room,55,1,0
544,Entire home/apt,225,4,14
545,Private room,189,3,3
546,Entire home/apt,150,3,0
547,Entire home/apt,80,1,20
548,Entire home/apt,69,30,81
549,Entire home/apt,250,30,0
550,Private room,70,1,0
551,Private room,99,3,8
552,Entire home/apt,120,7,0
553,Entire home/apt,190,30,7
554,Entire home/apt,259,5,2
555,Entire home/apt,700,2,6
556,Private room,300,2,0
557,Entire home/apt,500,1,18
558,Entire home/apt,215,30,41
559,Private room,99,5,1
560,Entire home/apt,185,5,4
561,Entire home/apt,150,3,25
562,Entire home/apt,620,1,0
563,Private room,67,1,281
564,Private room,70,5,2
565,Entire home/apt,150,1,29
566,Private room,50,5,0
567,Entire home/apt,175,1,4
568,Private room,99,1,34
569,Private room,140,3,21
570,Private room,123,1,219
571,Entire home/apt,269,30,0
572,Entire home/apt,130,1,0
573,Entire home/apt,299,1,2
574,Entire home/apt,160,3,27
575,Entire home/apt,150,1,0
576,Entire home/apt,380,1,1
577,Entire home/apt,1105,30,5
578,Entire home/apt,250,2,31
579,Entire home/apt,119,2,10
580,Entire home/apt,15,5,17
581,Private room,68,4,25
582,Entire home/apt,150,20,0
583,Entire home/apt,399,5,3
584,Private room,100,3,1
585,Private room,60,1,1
586,Private room,79,5,15
587,Entire home/apt,386,30,0
588,Entire home/apt,200,4,3
589,Private room,98,7,0
590,Private room,135,5,6
591,Entire home/apt,150,3,0
592,Private room,95,30,3
593,Private room,80,4,1
594,Entire home/apt,157,5,1
595,Private room,85,1,35
596,Private room,75,2,8
597,Entire home/apt,139,3,131
598,Entire home/apt,110,30,4
599,Private room,195,1,7
600,Private room,90,1,2
601,Private room,250,1,2
602,Entire home/apt,80,1,0
603,Entire home/apt,900,12,13
604,Entire home/apt,175,1,0
605,Private room,55,4,1
606,Private room,100,1,4
607,Private room,199,1,27
608,Entire home/apt,130,2,6
609,Private room,105,2,3
610,Shared room,38,1,0
611,Entire home/apt,126,28,0
612,Private room,150,7,1
613,Entire home/apt,135,1,8
614,Entire home/apt,315,4,63
615,Private room,58,2,3
616,Entire home/apt,177,1,86
617,Entire home/apt,200,4,37
618,Entire home/apt,175,4,11
619,Private room,66,1,1
620,Entire home/apt,175,20,0
621,Entire home/apt,120,1,8
622,Entire home/apt,109,4,7
623,Entire home/apt,250,2,14
624,Entire home/apt,150,3,1
625,Entire home/apt,179,6,11
626,Entire home/apt,220,1,51
627,Entire home/apt,160,2,49
628,Private room,120,1,1
629,Entire home/apt,145,3,10
630,Private room,46,7,1
631,Private room,188,1,3
632,Entire home/apt,225,1,3
633,Entire home/apt,197,2,6
634,Private room,69,1,3
635,Private room,99,4,2
636,Private room,35,5,11
637,Private room,45,10,28
638,Private room,60,1,160
639,Private room,120,4,12
640,Private room,90,3,3
641,Entire home/apt,450,1,1
642,Entire home/apt,335,30,0
643,Entire home/apt,175,4,10
644,Entire home/apt,150,7,0
645,Private room,120,1,101
646,Private room,99,5,22
647,Entire home/apt,149,4,171
648,Private room,150,3,10
649,Private room,50,2,180
650,Entire home/apt,120,23,11
651,Entire home/apt,126,30,1
652,Private room,200,5,8
653,Entire home/apt,175,3,1
654,Entire home/apt,195,5,11
655,Entire home/apt,132,366,102
656,Private room,120,4,0
657,Private room,60,1,0
658,Entire home/apt,150,5,3
659,Private room,99,7,6
660,Private room,150,3,7
661,Entire home/apt,170,2,2
662,Entire home/apt,202,2,2
663,Entire home/apt,167,3,8
664,Private room,65,1,1
665,Entire home/apt,250,2,0
666,Entire home/apt,175,3,0
667,Private room,63,30,0
668,Entire home/apt,159,3,2
669,Entire home/apt,250,29,0
670,Entire home/apt,80,20,0
671,Entire home/apt,2091,30,5
672,Entire home/apt,255,1,23
673,Shared room,100,1,23
674,Private room,91,1,1
675,Private room,60,2,5
676,Private room,80,5,63
677,Entire home/apt,65,2,3
678,Entire home/apt,235,1,9
679,Entire home/apt,320,6,4
680,Entire home/apt,122,29,1
681,Private room,145,2,19
682,Entire home/apt,230,5,2
683,Entire home/apt,119,4,1
684,Entire home/apt,135,2,69
685,Private room,75,1,5
686,Private room,700,1,0
687,Private room,89,1,2
688,Private room,110,1,70
689,Private room,150,1,3
690,Entire home/apt,250,3,28
691,Private room,75,2,0
692,Entire home/apt,300,5,1
693,Entire home/apt,800,30,43
694,Private room,62,3,1
695,Private room,107,1,0
696,Entire home/apt,399,30,59
697,Entire home/apt,130,2,0
698,Private room,100,1,2
699,Private room,85,15,1
700,Entire home/apt,375,1,0
701,Private room,175,1,29
702,Entire home/apt,250,3,2
703,Private room,59,3,58
704,Entire home/apt,130,18,9
705,Entire home/apt,100,1,14
706,Entire home/apt,229,30,0
707,Entire home/apt,200,1,48
708,Entire home/apt,129,1,3
709,Entire home/apt,150,4,22
710,Private room,128,2,4
711,Entire home/apt,655,2,2
712,Private room,161,5,102
713,Entire home/apt,150,30,6
714,Private room,100,4,1
715,Entire home/apt,199,5,11
716,Entire home/apt,185,4,25
717,Entire home/apt,199,3,0
718,Entire home/apt,150,2,2
719,Entire home/apt,200,1,3
720,Private room,69,30,1
721,Private room,85,1,1
722,Private room,65,1,5
723,Entire home/apt,180,1,8
724,Shared room,85,1,202
725,Private room,45,2,2
726,Shared room,98,1,64
727,Entire home/apt,190,2,0
728,Private room,123,2,2
729,Entire home/apt,100,3,1
730,Private room,40,2,15
731,Private room,50,1,7
732,Entire home/apt,116,30,9
733,Private room,50,2,0
734,Private room,109,2,107
735,Entire home/apt,175,2,14
736,Entire home/apt,190,1,3
737,Private room,77,1,2
738,Entire home/apt,210,3,17
739,Entire home/apt,131,30,0
740,Entire home/apt,100,30,1
741,Entire home/apt,112,30,1
742,Private room,80,1,6
743,Entire home/apt,339,30,2
744,Private room,66,1,6
745,Private room,50,1,47
746,Entire home/apt,110,1,72
747,Private room,175,1,1
748,Entire home/apt,202,4,0
749,Entire home/apt,290,1,0
750,Private room,80,2,26
751,Entire home/apt,150,11,4
752,Private room,45,2,184
753,Entire home/apt,235,30,0
754,Entire home/apt,550,30,2
755,Private room,85,1,23
756,Entire home/apt,125,1,3
757,Entire home/apt,395,2,1
758,Entire home/apt,190,2,4
759,Entire home/apt,525,3,6
760,Private room,48,1,7
761,Entire home/apt,150,5,13
762,Entire home/apt,319,2,4
763,Entire home/apt,150,3,112
764,Entire home/apt,105,1,0
765,Entire home/apt,126,2,5
766,Private room,120,2,5
767,Entire home/apt,110,2,2
768,Entire home/apt,250,5,8
769,Private room,130,1,1
770,Entire home/apt,143,30,33
771,Private room,88,1,6
772,Entire home/apt,150,5,34
773,Entire home/apt,105,30,8
774,Entire home/apt,175,2,146
775,Entire home/apt,150,4,0
776,Shared room,80,1,1
777,Private room,85,2,16
778,Private room,89,4,1
779,Private room,40,35,1
780,Entire home/apt,80,3,2
781,Entire home/apt,100,30,1
782,Private room,120,1,0
783,Entire home/apt,200,2,5
784,Entire home/apt,84,2,4
785,Entire home/apt,299,2,59
786,Entire home/apt,125,2,11
787,Entire home/apt,45,1,0
788,Entire home/apt,250,4,1
789,Private room,64,1,21
790,Entire home/apt,159,3,51
791,Private room,45,1,7
792,Private room,80,5,142
793,Entire home/apt,170,3,12
794,Private room,85,1,0
795,Private room,60,2,1
796,Entire home/apt,120,2,0
797,Entire home/apt,249,1,0
798,Private room,108,1,139
799,Entire home/apt,110,2,15
800,Entire home/apt,100,2,32
801,Private room,45,2,17
802,Entire home/apt,210,2,1
803,Private room,90,2,0
804,Private room,89,1,15
805,Private room,45,5,1
806,Entire home/apt,110,2,0
807,Entire home/apt,450,1,8
808,Entire home/apt,170,10,1
809,Private room,80,1,11
810,Entire home/apt,189,3,55
811,Entire home/apt,139,2,1
812,Entire home/apt,225,3,4
813,Private room,92,26,4
814,Entire home/apt,500,3,0
815,Private room,150,7,0
816,Private room,63,1,2
817,Entire home/apt,800,30,5
818,Private room,200,1,15
819,Entire home/apt,650,1,237
820,Entire home/apt,115,1,125
821,Entire home/apt,450,3,16
822,Entire home/apt,150,30,1
823,Shared room,35,14,0
824,Entire home/apt,425,1,3
825,Entire home/apt,549,30,0
826,Entire home/apt,105,1,10
827,Entire home/apt,215,2,7
828,Entire home/apt,255,1,0
829,Entire home/apt,320,1,253
830,Entire home/apt,249,4,2
831,Private room,77,7,12
832,Private room,69,2,36
833,Private room,69,2,3
834,Entire home/apt,389,30,0
835,Entire home/apt,90,1,3
836,Entire home/apt,110,30,1
837,Entire home/apt,299,2,33
838,Entire home/apt,190,5,3
839,Entire home/apt,225,2,0
840,Entire home/apt,229,30,0
841,Entire home/apt,160,15,5
842,Private room,305,2,197
843,Entire home/apt,189,30,19
844,Private room,85,34,0
845,Entire home/apt,195,3,66
846,Entire home/apt,700,2,1
847,Entire home/apt,245,4,3
848,Entire home/apt,249,30,2
849,Entire home/apt,250,2,9
850,Entire home/apt,200,31,8
851,Private room,55,5,7
852,Private room,150,1,279
853,Private room,85,1,66
854,Private room,90,3,6
855,Entire home/apt,150,3,1
856,Entire home/apt,300,3,2
857,Entire home/apt,80,1,6
858,Entire home/apt,160,3,0
859,Private room,140,7,0
860,Entire home/apt,190,2,31
861,Private room,125,2,15
862,Private room,49,4,33
863,Private room,69,2,26
864,Private room,130,1,51
865,Entire home/apt,252,9,0
866,Private room,90,1,1
867,Entire home/apt,100,6,61
868,Entire home/apt,175,4,22
869,Entire home/apt,200,3,12
870,Entire home/apt,250,4,0
871,Entire home/apt,1000,180,0
872,Entire home/apt,200,1,78
873,Entire home/apt,200,4,38
874,Entire home/apt,90,30,0
875,Private room,125,4,0
876,Private room,100,3,1
877,Private room,75,2,1
878,Private room,100,1,150
879,Entire home/apt,220,60,72
880,Entire home/apt,202,30,0
881,Private room,74,2,10
882,Private room,95,5,3
883,Entire home/apt,185,2,6
884,Private room,85,2,102
885,Private room,129,1,0
886,Entire home/apt,241,5,138
887,Private room,145,1,178
888,Entire home/apt,250,2,49
889,Entire home/apt,160,10,0
890,Private room,70,5,0
891,Entire home/apt,210,30,0
892,Private room,130,2,24
893,Entire home/apt,300,30,5
894,Private room,175,4,34
895,Entire home/apt,220,2,0
896,Entire home/apt,189,2,2
897,Private room,180,2,1
898,Private room,75,1,40
899,Entire home/apt,140,3,13
900,Private room,80,2,1
901,Private room,40,30,0
902,Entire home/apt,150,20,1
903,Entire home/apt,350,30,7
904,Entire home/apt,250,3,34
905,Private room,275,1,0
906,Entire home/apt,100,5,0
907,Entire home/apt,203,1,0
908,Entire home/apt,92,2,163
909,Private room,40,1,17
910,Private room,99,1,90
911,Entire home/apt,200,5,1
912,Private room,78,3,1
913,Private room,49,5,6
914,Entire home/apt,249,7,14
915,Private room,89,1,0
916,Entire home/apt,140,3,3
917,Entire home/apt,365,1,1
918,Entire home/apt,250,1,24
919,Private room,165,1,0
920,Entire home/apt,102,3,1
921,Private room,89,1,21
922,Private room,102,4,4
923,Private room,89,3,62
924,Entire home/apt,260,30,2
925,Entire home/apt,100,2,14
926,Private room,80,5,36
927,Entire home/apt,600,3,3
928,Private room,63,2,9
929,Entire home/apt,220,3,3
930,Entire home/apt,185,2,5
931,Entire home/apt,200,30,0
932,Entire home/apt,275,1,69
933,Entire home/apt,150,30,0
934,Entire home/apt,225,2,11
935,Private room,70,5,46
936,Entire home/apt,250,3,0
937,Private room,100,5,11
938,Entire home/apt,1900,7,0
939,Entire home/apt,540,30,0
940,Private room,75,1,57
941,Entire home/apt,223,30,0
942,Private room,80,1,0
943,Entire home/apt,1000,2,0
944,Entire home/apt,170,1,36
945,Entire home/apt,78,1,1
946,Private room,125,1,273
947,Entire home/apt,100,1,100
948,Private room,125,1,1
949,Private room,100,2,0
950,Entire home/apt,149,4,7
951,Entire home/apt,330,3,9
952,Private room,65,3,2
953,Private room,80,7,3
954,Private room,415,5,10
955,Entire home/apt,219,31,0
956,Entire home/apt,245,2,11
957,Entire home/apt,75,3,18
958,Private room,100,3,55
959,Entire home/apt,200,1,0
960,Entire home/apt,245,1,0
961,Private room,49,41,1
962,Entire home/apt,231,2,32
963,Entire home/apt,160,3,0
964,Entire home/apt,199,2,1
965,Entire home/apt,148,2,131
966,Entire home/apt,995,1,36
967,Private room,80,7,0
968,Entire home/apt,95,7,2
