age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,income
17,Private,11th,Never-married,Farming-fishing,Own-child,White,Male,40,<=50K
29,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Male,35,>50K
43,Private,Bachelors,Divorced,Machine-op-inspct,Other-relative,White,Male,40,<=50K
46,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,45,>50K
30,?,HS-grad,Separated,?,Own-child,Black,Female,20,<=50K
49,Private,Assoc-voc,Divorced,Other-service,Unmarried,White,Female,20,<=50K
51,Private,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K
73,?,HS-grad,Widowed,?,Not-in-family,White,Female,22,>50K
23,Private,HS-grad,Never-married,Other-service,Own-child,Black,Male,25,<=50K
51,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,40,<=50K
30,Private,10th,Never-married,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,40,<=50K
28,?,HS-grad,Married-civ-spouse,?,Other-relative,White,Male,16,<=50K
18,Private,11th,Never-married,Adm-clerical,Not-in-family,White,Male,40,<=50K
45,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,38,<=50K
40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K
29,Federal-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Other,Male,45,<=50K
54,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K
30,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,Black,Female,20,<=50K
49,Private,Bachelors,Divorced,Exec-managerial,Unmarried,Black,Female,40,<=50K
34,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
38,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K
35,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,<=50K
36,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K
18,Private,HS-grad,Never-married,Sales,Own-child,White,Female,20,<=50K
36,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,>50K
71,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,28,<=50K
44,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,60,<=50K
58,Private,Some-college,Separated,Adm-clerical,Not-in-family,White,Female,40,<=50K
31,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Male,40,<=50K
36,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,>50K
40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,<=50K
57,Private,Bachelors,Divorced,Craft-repair,Not-in-family,White,Male,45,<=50K
33,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,45,<=50K
35,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K
65,?,HS-grad,Widowed,?,Unmarried,White,Female,75,<=50K
39,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,55,>50K
29,Private,1st-4th,Never-married,Other-service,Not-in-family,White,Male,20,<=50K
44,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K
18,Private,9th,Never-married,Handlers-cleaners,Own-child,White,Male,16,<=50K
68,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,10,<=50K
24,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,60,<=50K
33,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,49,<=50K
18,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,50,<=50K
62,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,40,<=50K
42,Local-gov,Masters,Married-civ-spouse,Protective-serv,Husband,White,Male,35,>50K
29,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,35,<=50K
30,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,Black,Male,40,<=50K
51,Private,HS-grad,Married-civ-spouse,Other-service,Other-relative,Black,Female,40,<=50K
28,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
43,Private,HS-grad,Separated,Other-service,Not-in-family,Black,Female,40,<=50K
52,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Male,45,<=50K
22,Private,10th,Never-married,Machine-op-inspct,Unmarried,White,Male,40,<=50K
39,Private,Some-college,Separated,Machine-op-inspct,Own-child,White,Male,40,<=50K
33,Self-emp-not-inc,Bachelors,Divorced,Craft-repair,Not-in-family,White,Male,60,<=50K
19,Private,Some-college,Married-spouse-absent,Adm-clerical,Own-child,White,Male,40,<=50K
34,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K
25,Private,HS-grad,Never-married,Sales,Unmarried,Black,Female,35,<=50K
64,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,55,>50K
24,Local-gov,10th,Never-married,Craft-repair,Unmarried,Black,Male,65,<=50K
18,State-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,10,<=50K
36,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40,>50K
47,Private,Doctorate,Married-civ-spouse,Sales,Husband,White,Male,60,<=50K
20,Private,HS-grad,Never-married,Adm-clerical,Other-relative,White,Male,30,<=50K
21,Self-emp-not-inc,Some-college,Never-married,Tech-support,Not-in-family,White,Male,25,<=50K
22,Private,Some-college,Never-married,Other-service,Other-relative,White,Male,25,<=50K
22,Private,Some-college,Never-married,Other-service,Own-child,White,Female,40,<=50K
20,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,40,<=50K
43,State-gov,Some-college,Never-married,Other-service,Not-in-family,Black,Female,30,<=50K
60,Federal-gov,9th,Divorced,Other-service,Not-in-family,Black,Female,40,<=50K
40,Private,Some-college,Never-married,Exec-managerial,Unmarried,White,Female,40,<=50K
22,Private,Some-college,Never-married,Other-service,Own-child,White,Female,15,<=50K
51,?,9th,Separated,?,Not-in-family,White,Male,60,<=50K
47,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K
30,Private,7th-8th,Never-married,Craft-repair,Not-in-family,White,Male,38,<=50K
20,Private,HS-grad,Never-married,Sales,Other-relative,Black,Female,35,<=50K
31,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K
51,Local-gov,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,<=50K
28,Private,Some-college,Never-married,Sales,Own-child,Black,Male,40,<=50K
47,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,>50K
63,?,HS-grad,Widowed,?,Not-in-family,White,Female,4,<=50K
19,?,HS-grad,Never-married,?,Own-child,Black,Female,20,<=50K
72,Private,11th,Divorced,Other-service,Not-in-family,Black,Female,35,<=50K
40,Private,12th,Divorced,Craft-repair,Not-in-family,White,Male,40,<=50K
58,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,>50K
48,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K
26,Private,Bachelors,Never-married,Transport-moving,Own-child,White,Male,20,<=50K
33,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K
37,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K
59,Local-gov,9th,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K
31,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,40,<=50K
39,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,60,<=50K
17,Private,10th,Never-married,Other-service,Own-child,White,Female,15,<=50K
61,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K
24,Private,Bachelors,Never-married,Craft-repair,Own-child,White,Male,40,<=50K
35,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
46,Private,Bachelors,Divorced,Sales,Unmarried,White,Male,40,>50K
27,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,45,<=50K
28,Private,9th,Married-civ-spouse,Other-service,Other-relative,White,Female,35,<=50K
56,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,34,<=50K
50,Local-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K
72,?,Assoc-acdm,Married-civ-spouse,?,Husband,White,Male,16,>50K
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
35,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,65,<=50K
71,Private,9th,Married-civ-spouse,Protective-serv,Husband,White,Male,39,<=50K
28,Private,Some-college,Never-married,Other-service,Own-child,White,Female,30,<=50K
59,Private,Masters,Never-married,Sales,Not-in-family,White,Female,45,>50K
45,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K
55,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K
75,Self-emp-not-inc,11th,Widowed,Sales,Not-in-family,White,Male,40,<=50K
29,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K
49,Federal-gov,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K
37,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
36,Self-emp-inc,Bachelors,Divorced,Sales,Not-in-family,White,Male,60,<=50K
46,Private,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,40,>50K
26,Private,Assoc-voc,Never-married,Sales,Own-child,White,Female,35,<=50K
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,84,<=50K
25,Local-gov,Some-college,Divorced,Protective-serv,Not-in-family,White,Female,40,<=50K
45,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,40,<=50K
33,Private,10th,Never-married,Handlers-cleaners,Unmarried,Black,Male,40,<=50K
22,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,20,<=50K
34,Private,Some-college,Never-married,Sales,Other-relative,Black,Male,30,<=50K
34,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,27,>50K
28,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,25,<=50K
66,?,Bachelors,Married-civ-spouse,?,Husband,White,Male,24,<=50K
54,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,50,>50K
68,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Female,28,<=50K
44,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
22,?,Some-college,Never-married,?,Own-child,White,Male,40,<=50K
53,?,Bachelors,Divorced,?,Not-in-family,White,Female,50,<=50K
25,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,45,<=50K
54,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,52,>50K
32,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,38,<=50K
65,Self-emp-not-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,>50K
28,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,<=50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,Male,40,<=50K
40,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,15,>50K
44,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,37,<=50K
25,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,<=50K
55,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,50,<=50K
59,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K
31,State-gov,Some-college,Divorced,Protective-serv,Not-in-family,White,Male,40,>50K
24,Federal-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,25,<=50K
64,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,5,<=50K
46,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,60,<=50K
47,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,>50K
37,Self-emp-inc,11th,Married-spouse-absent,Sales,Not-in-family,White,Male,60,<=50K
32,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,65,<=50K
45,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,45,<=50K
30,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,37,<=50K
29,Self-emp-not-inc,Assoc-voc,Never-married,Farming-fishing,Not-in-family,White,Male,75,<=50K
18,Private,12th,Never-married,Sales,Own-child,White,Female,20,<=50K
31,Local-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,45,<=50K
73,?,HS-grad,Widowed,?,Not-in-family,White,Female,15,<=50K
37,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,>50K
54,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,>50K
28,State-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,10,<=50K
31,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,65,<=50K
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,70,<=50K
43,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,40,<=50K
20,Private,Assoc-voc,Never-married,Farming-fishing,Own-child,White,Male,40,<=50K
25,Federal-gov,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,40,<=50K
31,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,40,<=50K
59,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Female,40,<=50K
19,Private,1st-4th,Never-married,Handlers-cleaners,Not-in-family,White,Male,55,<=50K
29,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,60,<=50K
41,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
34,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,<=50K
48,Private,1st-4th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K
18,?,12th,Never-married,?,Own-child,White,Male,7,<=50K
22,Private,HS-grad,Separated,Sales,Unmarried,White,Female,40,<=50K
47,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,45,>50K
63,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,24,<=50K
38,Private,7th-8th,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K
53,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,40,<=50K
46,Private,10th,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male,37,<=50K
43,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,>50K
25,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,40,<=50K
48,Private,1st-4th,Separated,Machine-op-inspct,Other-relative,Black,Male,48,<=50K
53,Private,HS-grad,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,10,<=50K
66,Private,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,35,<=50K
46,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K
19,State-gov,Some-college,Never-married,Other-service,Own-child,White,Female,12,<=50K
47,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K
54,Local-gov,Some-college,Divorced,Craft-repair,Unmarried,White,Male,42,<=50K
25,Private,7th-8th,Never-married,Handlers-cleaners,Unmarried,White,Male,40,<=50K
51,Private,HS-grad,Divorced,Prof-specialty,Unmarried,White,Male,40,<=50K
33,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,40,<=50K
36,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,<=50K
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K
76,Private,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Female,20,<=50K
23,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,30,<=50K
17,Private,10th,Never-married,Other-service,Own-child,White,Male,20,<=50K
41,Private,Bachelors,Widowed,Exec-managerial,Unmarried,White,Male,20,<=50K
36,Private,Preschool,Divorced,Other-service,Not-in-family,Other,Male,72,<=50K
30,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,35,>50K
33,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,Male,55,<=50K
75,?,5th-6th,Married-civ-spouse,?,Husband,White,Male,25,<=50K
20,Self-emp-inc,Some-college,Never-married,Handlers-cleaners,Own-child,White,Female,40,<=50K
43,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,99,>50K
63,Private,10th,Widowed,Other-service,Not-in-family,White,Female,31,<=50K
25,Private,11th,Never-married,Adm-clerical,Not-in-family,White,Female,40,<=50K
30,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
48,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
30,Private,10th,Never-married,Sales,Other-relative,White,Male,18,<=50K
19,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,70,<=50K
20,State-gov,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,<=50K
46,Private,Masters,Never-married,Adm-clerical,Not-in-family,White,Male,60,<=50K
33,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,>50K
24,Private,Assoc-acdm,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K
29,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,45,<=50K
37,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,50,<=50K
42,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
40,Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,50,<=50K
37,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K
36,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
24,State-gov,Bachelors,Never-married,Transport-moving,Not-in-family,Black,Male,40,<=50K
34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
24,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,65,<=50K
19,?,Some-college,Never-married,?,Own-child,White,Male,40,<=50K
62,Self-emp-inc,Bachelors,Divorced,Sales,Not-in-family,White,Male,40,>50K
33,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,28,<=50K
65,Private,Bachelors,Widowed,Other-service,Not-in-family,White,Female,40,<=50K
58,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,20,<=50K
32,Private,HS-grad,Married-civ-spouse,Other-service,Wife,Black,Female,40,<=50K
66,Self-emp-not-inc,11th,Divorced,Other-service,Not-in-family,White,Female,40,>50K
24,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,32,<=50K
55,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,60,<=50K
58,Private,10th,Never-married,Other-service,Not-in-family,White,Male,40,<=50K
38,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
60,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
23,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
70,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,25,<=50K
56,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,Black,Female,40,<=50K
22,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,15,<=50K
28,Private,HS-grad,Separated,Exec-managerial,Unmarried,White,Female,50,<=50K
44,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,<=50K
35,Private,HS-grad,Married-civ-spouse,Tech-support,Wife,White,Female,35,>50K
62,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,32,<=50K
25,?,HS-grad,Never-married,?,Own-child,White,Male,40,<=50K
31,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,40,<=50K
24,Private,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Male,40,<=50K
29,Private,Assoc-acdm,Never-married,Other-service,Unmarried,Black,Male,60,<=50K
44,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,<=50K
20,State-gov,Assoc-acdm,Never-married,Other-service,Own-child,White,Male,20,<=50K
42,Federal-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,<=50K
22,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,35,<=50K
36,Private,Bachelors,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,50,<=50K
41,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,>50K
43,State-gov,Some-college,Divorced,Exec-managerial,Unmarried,White,Male,40,<=50K
64,?,Assoc-acdm,Never-married,?,Not-in-family,White,Female,20,<=50K
44,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,40,>50K
64,Private,Some-college,Widowed,Tech-support,Unmarried,White,Female,40,<=50K
43,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
33,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
42,Federal-gov,Masters,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,>50K
52,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,60,<=50K
22,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,40,<=50K
32,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,<=50K
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,<=50K
54,Local-gov,11th,Widowed,Protective-serv,Unmarried,Black,Female,40,<=50K
26,Private,Some-college,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,44,<=50K
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
55,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K
26,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Female,40,<=50K
40,Private,10th,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
22,State-gov,Some-college,Never-married,Prof-specialty,Own-child,White,Male,10,<=50K
43,Federal-gov,Assoc-voc,Divorced,Handlers-cleaners,Unmarried,Black,Male,40,<=50K
48,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,>50K
24,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,40,<=50K
32,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K
39,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,40,<=50K
40,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Male,45,<=50K
35,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,25,<=50K
33,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,<=50K
51,Self-emp-not-inc,Bachelors,Divorced,Sales,Unmarried,White,Female,40,<=50K
36,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,<=50K
33,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
22,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,35,<=50K
30,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,5,>50K
57,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Male,38,<=50K
27,Private,Bachelors,Never-married,Prof-specialty,Other-relative,White,Female,40,<=50K
59,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K
33,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,>50K
42,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,<=50K
75,?,10th,Married-spouse-absent,?,Not-in-family,White,Female,5,<=50K
55,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,>50K
31,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,<=50K
32,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,55,<=50K
38,Private,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,50,<=50K
20,?,Some-college,Never-married,?,Not-in-family,White,Female,25,<=50K
20,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,42,<=50K
31,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,40,<=50K
