id,sex,income
1107,Male,<=50K
1108,Male,>50K
1109,Male,>50K
1110,Male,>50K
1111,Male,>50K
1112,Male,<=50K
1113,Male,<=50K
1114,Male,<=50K
1115,Female,<=50K
1116,Female,<=50K
1117,Male,<=50K
1118,Male,>50K
1119,Female,>50K
1120,Male,<=50K
1121,Male,<=50K
1122,Male,<=50K
1123,Female,<=50K
1124,Male,<=50K
1125,Female,<=50K
1126,Male,<=50K
1127,Female,<=50K
1128,Male,<=50K
1129,Male,>50K
1130,Female,>50K
1131,Male,>50K
1132,Male,<=50K
1133,Male,<=50K
1134,Male,>50K
1135,Female,<=50K
1136,Male,<=50K
1137,Male,<=50K
1138,Female,<=50K
1139,Male,<=50K
1140,Female,>50K
1141,Male,>50K
1142,Male,<=50K
1143,Female,<=50K
1144,Female,<=50K
1145,Female,>50K
1146,Female,<=50K
1147,Female,<=50K
1148,Male,>50K
1149,Male,<=50K
1150,Male,<=50K
1151,Female,<=50K
1152,Male,<=50K
1153,Male,>50K
1154,Female,<=50K
1155,Female,<=50K
1156,Female,<=50K
1157,Male,>50K
1158,Female,<=50K
1159,Female,>50K
1160,Male,<=50K
1161,Female,<=50K
1162,Male,<=50K
1163,Male,>50K
1164,Male,>50K
1165,Male,<=50K
1166,Female,<=50K
1167,Male,>50K
1168,Male,>50K
1169,Female,>50K
1170,Female,<=50K
1171,Male,<=50K
1172,Male,<=50K
1173,Male,<=50K
1174,Male,<=50K
1175,Male,>50K
1176,Male,<=50K
1177,Male,<=50K
1178,Male,<=50K
1179,Male,>50K
1180,Male,<=50K
1181,Male,<=50K
1182,Male,<=50K
1183,Male,<=50K
1184,Male,>50K
1185,Female,<=50K
1186,Female,<=50K
1187,Male,<=50K
1188,Male,<=50K
1189,Male,<=50K
1190,Male,>50K
1191,Female,<=50K
1192,Male,<=50K
1193,Male,<=50K
1194,Female,<=50K
1195,Male,>50K
1196,Male,<=50K
1197,Male,>50K
1198,Male,<=50K
1199,Female,<=50K
1200,Female,<=50K
1201,Female,<=50K
1202,Male,<=50K
1203,Male,<=50K
1204,Male,<=50K
1205,Male,<=50K
1206,Male,<=50K
1207,Female,<=50K
1208,Male,<=50K
1209,Male,<=50K
1210,Female,>50K
1211,Male,<=50K
1212,Female,<=50K
1213,Male,>50K
1214,Male,>50K
1215,Female,<=50K
1216,Female,<=50K
1217,Male,<=50K
1218,Male,<=50K
1219,Female,<=50K
1220,Male,<=50K
1221,Male,<=50K
1222,Female,<=50K
1223,Male,>50K
1224,Female,<=50K
1225,Male,<=50K
1226,Female,>50K
1227,Female,<=50K
1228,Male,<=50K
1229,Female,<=50K
1230,Male,>50K
1231,Male,<=50K
1232,Male,<=50K
1233,Female,<=50K
1234,Female,<=50K
1235,Male,<=50K
1236,Male,<=50K
1237,Male,<=50K
1238,Male,>50K
1239,Male,<=50K
1240,Male,>50K
1241,Male,>50K
1242,Male,<=50K
1243,Female,<=50K
1244,Male,>50K
1245,Female,<=50K
1246,Male,<=50K
1247,Male,<=50K
1248,Male,<=50K
1249,Female,<=50K
1250,Male,<=50K
1251,Female,<=50K
1252,Male,<=50K
1253,Female,<=50K
1254,Male,<=50K
1255,Male,<=50K
1256,Male,<=50K
1257,Male,>50K
1258,Male,>50K
1259,Male,<=50K
1260,Female,<=50K
1261,Male,<=50K
1262,Male,<=50K
1263,Female,<=50K
1264,Male,<=50K
1265,Female,<=50K
1266,Male,<=50K
1267,Female,<=50K
1268,Female,<=50K
1269,Female,<=50K
1270,Male,<=50K
1271,Female,<=50K
1272,Male,<=50K
1273,Male,<=50K
1274,Female,<=50K
1275,Male,<=50K
1276,Male,<=50K
1277,Male,<=50K
1278,Female,<=50K
1279,Male,>50K
1280,Male,<=50K
1281,Male,<=50K
1282,Male,<=50K
1283,Male,<=50K
1284,Male,<=50K
1285,Male,>50K
1286,Male,>50K
1287,Male,<=50K
1288,Male,<=50K
1289,Male,<=50K
1290,Male,>50K
1291,Female,<=50K
1292,Male,>50K
1293,Male,<=50K
1294,Female,<=50K
1295,Male,>50K
1296,Male,>50K
1297,Male,>50K
1298,Male,>50K
1299,Female,<=50K
1300,Male,>50K
1301,Male,<=50K
1302,Male,<=50K
1303,Male,<=50K
1304,Female,<=50K
1305,Male,<=50K
1306,Female,<=50K
1307,Female,<=50K
1308,Male,<=50K
1309,Male,<=50K
1310,Female,<=50K
1311,Female,<=50K
1312,Male,<=50K
1313,Female,>50K
1314,Male,<=50K
1315,Female,<=50K
1316,Male,<=50K
1317,Male,<=50K
1318,Male,<=50K
1319,Male,<=50K
1320,Male,>50K
1321,Male,<=50K
1322,Male,<=50K
1323,Female,<=50K
1324,Male,<=50K
1325,Male,<=50K
1326,Male,<=50K
1327,Male,>50K
1328,Male,>50K
1329,Female,>50K
1330,Male,<=50K
1331,Male,<=50K
1332,Female,<=50K
1333,Female,<=50K
1334,Male,<=50K
1335,Male,<=50K
1336,Male,>50K
1337,Male,>50K
1338,Female,<=50K
1339,Male,<=50K
1340,Female,<=50K
1341,Female,<=50K
1342,Female,<=50K
1343,Male,<=50K
1344,Female,<=50K
1345,Female,<=50K
1346,Female,<=50K
1347,Male,<=50K
1348,Male,<=50K
1349,Male,<=50K
1350,Male,<=50K
1351,Male,<=50K
1352,Male,>50K
1353,Male,>50K
1354,Male,<=50K
1355,Male,>50K
1356,Female,<=50K
1357,Male,<=50K
1358,Male,<=50K
1359,Female,<=50K
1360,Female,<=50K
1361,Male,<=50K
1362,Female,<=50K
1363,Female,<=50K
1364,Male,<=50K
1365,Male,<=50K
1366,Male,<=50K
1367,Female,<=50K
1368,Male,>50K
1369,Female,>50K
1370,Male,<=50K
1371,Female,<=50K
1372,Male,<=50K
1373,Female,<=50K
1374,Male,<=50K
1375,Female,<=50K
1376,Male,<=50K
1377,Male,<=50K
1378,Female,<=50K
1379,Female,>50K
1380,Male,>50K
1381,Male,>50K
1382,Male,<=50K
1383,Male,<=50K
1384,Male,<=50K
1385,Female,<=50K
1386,Female,<=50K
1387,Male,<=50K
1388,Female,<=50K
1389,Male,<=50K
1390,Male,<=50K
