age,education,marital_status,occupation,relationship,sex,capital_gain,capital_loss,hours_per_week,income
21,Some-college,Never-married,Exec-managerial,Unmarried,Female,0,0,44,<=50K
35,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
21,Some-college,Never-married,Other-service,Own-child,Female,0,0,30,<=50K
34,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
24,Some-college,Never-married,Craft-repair,Not-in-family,Male,0,0,40,<=50K
34,Assoc-voc,Married-civ-spouse,Sales,Husband,Male,0,0,60,<=50K
27,Bachelors,Married-civ-spouse,?,Husband,Male,0,0,28,<=50K
67,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,>50K
62,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,10605,0,50,>50K
25,Bachelors,Never-married,Prof-specialty,Own-child,Male,0,0,35,<=50K
29,HS-grad,Never-married,Craft-repair,Other-relative,Male,0,0,40,<=50K
40,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,<=50K
21,Some-college,Never-married,Other-service,Own-child,Female,0,0,40,<=50K
67,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,35,<=50K
50,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,>50K
32,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
44,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Male,0,2415,60,>50K
34,HS-grad,Separated,Transport-moving,Not-in-family,Male,0,0,40,<=50K
30,Assoc-voc,Never-married,Prof-specialty,Own-child,Female,0,0,40,<=50K
69,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,>50K
37,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,5178,0,50,>50K
49,Doctorate,Divorced,Prof-specialty,Unmarried,Female,0,0,50,>50K
63,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,50,<=50K
33,Bachelors,Divorced,?,Not-in-family,Male,0,0,40,<=50K
19,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,0,0,20,<=50K
54,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,<=50K
27,Bachelors,Never-married,Exec-managerial,Own-child,Male,0,0,50,<=50K
25,Masters,Never-married,Adm-clerical,Not-in-family,Female,0,0,35,<=50K
46,HS-grad,Married-civ-spouse,Sales,Wife,Female,0,0,35,<=50K
28,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,<=50K
34,Some-college,Married-civ-spouse,Tech-support,Husband,Male,0,1902,40,>50K
31,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
65,9th,Married-civ-spouse,Other-service,Husband,Male,0,1651,45,<=50K
45,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,55,<=50K
39,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,<=50K
43,Some-college,Divorced,?,Not-in-family,Female,0,0,14,<=50K
71,11th,Married-civ-spouse,Craft-repair,Husband,Male,0,0,70,>50K
40,Bachelors,Divorced,Other-service,Not-in-family,Female,0,0,40,<=50K
18,HS-grad,Never-married,Adm-clerical,Own-child,Female,0,0,5,<=50K
33,Bachelors,Married-spouse-absent,Exec-managerial,Unmarried,Female,0,0,40,<=50K
64,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,<=50K
61,HS-grad,Divorced,Adm-clerical,Not-in-family,Male,0,0,40,<=50K
28,Assoc-voc,Never-married,Adm-clerical,Own-child,Male,0,0,70,<=50K
39,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
48,Masters,Married-civ-spouse,Tech-support,Wife,Female,15024,0,40,>50K
45,9th,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,<=50K
20,10th,Never-married,Other-service,Unmarried,Male,0,0,24,<=50K
45,HS-grad,Divorced,Adm-clerical,Unmarried,Female,0,0,52,<=50K
43,Bachelors,Divorced,Prof-specialty,Not-in-family,Male,0,0,45,>50K
60,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,30,>50K
59,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,>50K
29,12th,Never-married,Craft-repair,Own-child,Male,0,0,40,<=50K
42,HS-grad,Widowed,Other-service,Not-in-family,Female,0,0,40,<=50K
35,Some-college,Divorced,Other-service,Unmarried,Female,0,0,40,<=50K
41,10th,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,<=50K
36,Some-college,Never-married,Sales,Own-child,Male,0,0,40,<=50K
43,Some-college,Divorced,Craft-repair,Not-in-family,Male,4674,0,40,<=50K
33,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,<=50K
48,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,7664,0,60,>50K
45,5th-6th,Married-civ-spouse,Adm-clerical,Wife,Female,0,1579,15,<=50K
31,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,>50K
24,Masters,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,<=50K
22,Some-college,Never-married,?,Own-child,Male,0,0,40,<=50K
67,Bachelors,Divorced,Exec-managerial,Not-in-family,Male,0,0,40,>50K
40,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,45,<=50K
52,Masters,Divorced,Prof-specialty,Not-in-family,Female,10534,0,40,>50K
68,7th-8th,Married-civ-spouse,Transport-moving,Husband,Male,0,0,34,<=50K
35,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,>50K
47,Assoc-acdm,Divorced,Transport-moving,Own-child,Female,0,0,50,<=50K
51,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
62,Some-college,Widowed,Other-service,Unmarried,Male,0,0,40,<=50K
30,Prof-school,Married-civ-spouse,Sales,Wife,Female,7688,0,45,>50K
45,HS-grad,Married-civ-spouse,Other-service,Wife,Female,0,0,40,<=50K
36,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,>50K
49,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,60,>50K
27,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,<=50K
31,10th,Married-spouse-absent,Craft-repair,Not-in-family,Male,0,0,40,<=50K
24,HS-grad,Never-married,Craft-repair,Not-in-family,Male,0,0,40,<=50K
68,Preschool,Married-civ-spouse,Other-service,Husband,Male,0,0,80,>50K
23,Bachelors,Never-married,?,Not-in-family,Female,0,0,15,<=50K
36,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,7298,0,50,>50K
35,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,<=50K
25,11th,Married-civ-spouse,Other-service,Wife,Female,0,0,40,<=50K
53,Bachelors,Divorced,Prof-specialty,Unmarried,Female,0,0,45,>50K
46,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,<=50K
67,HS-grad,Widowed,Other-service,Not-in-family,Male,0,0,22,<=50K
39,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,>50K
36,Some-college,Married-civ-spouse,Tech-support,Husband,Male,0,0,65,>50K
70,HS-grad,Widowed,Adm-clerical,Unmarried,Female,0,0,6,<=50K
51,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,40,>50K
58,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,>50K
54,Some-college,Divorced,Craft-repair,Not-in-family,Male,0,0,40,<=50K
19,Some-college,Never-married,Other-service,Own-child,Male,0,0,16,<=50K
44,HS-grad,Divorced,Craft-repair,Unmarried,Male,0,0,40,<=50K
38,Some-college,Divorced,Adm-clerical,Not-in-family,Female,0,0,50,<=50K
30,1st-4th,Married-spouse-absent,Farming-fishing,Not-in-family,Male,0,0,60,<=50K
27,Some-college,Separated,Other-service,Own-child,Male,0,0,40,<=50K
39,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,85,>50K
32,HS-grad,Never-married,Sales,Own-child,Female,0,0,40,<=50K
19,HS-grad,Never-married,Craft-repair,Own-child,Male,0,0,45,<=50K
34,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,0,0,48,<=50K
18,HS-grad,Never-married,?,Own-child,Female,0,0,40,<=50K
39,Bachelors,Never-married,Prof-specialty,Not-in-family,Female,0,0,26,<=50K
25,Some-college,Never-married,Adm-clerical,Not-in-family,Female,0,0,12,<=50K
20,Some-college,Never-married,Sales,Own-child,Male,0,0,16,<=50K
41,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,<=50K
46,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,35,>50K
37,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,40,>50K
39,Masters,Divorced,Prof-specialty,Not-in-family,Male,0,0,40,>50K
50,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,35,<=50K
55,Assoc-voc,Divorced,Adm-clerical,Not-in-family,Female,0,0,42,<=50K
44,HS-grad,Married-civ-spouse,Other-service,Husband,Male,0,0,40,<=50K
21,Some-college,Never-married,Protective-serv,Not-in-family,Male,0,0,40,<=50K
47,11th,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,<=50K
42,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,25024,0,20,>50K
37,Masters,Never-married,Exec-managerial,Not-in-family,Male,0,0,49,>50K
73,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,3653,0,40,<=50K
35,HS-grad,Divorced,Adm-clerical,Unmarried,Female,0,0,40,<=50K
26,Some-college,Divorced,Craft-repair,Not-in-family,Male,0,0,30,<=50K
31,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,>50K
49,Prof-school,Divorced,Prof-specialty,Not-in-family,Female,0,0,50,<=50K
41,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,>50K
32,HS-grad,Married-civ-spouse,Prof-specialty,Other-relative,Female,0,0,40,<=50K
35,11th,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,50,<=50K
40,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,>50K
45,Masters,Married-civ-spouse,Sales,Husband,Male,0,0,65,>50K
58,HS-grad,Never-married,Prof-specialty,Other-relative,Male,0,0,50,<=50K
21,Assoc-acdm,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,<=50K
26,Some-college,Never-married,Exec-managerial,Other-relative,Male,0,0,35,<=50K
43,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,Male,0,0,50,<=50K
29,Bachelors,Never-married,Tech-support,Other-relative,Male,0,0,45,<=50K
42,HS-grad,Divorced,Craft-repair,Not-in-family,Male,0,0,50,<=50K
38,Some-college,Married-civ-spouse,Sales,Wife,Female,0,0,40,>50K
40,7th-8th,Married-civ-spouse,Handlers-cleaners,Wife,Female,0,0,30,<=50K
31,Some-college,Married-spouse-absent,Adm-clerical,Unmarried,Female,0,0,40,<=50K
58,Some-college,Married-civ-spouse,Other-service,Husband,Male,0,0,40,<=50K
27,10th,Married-civ-spouse,?,Not-in-family,Male,0,0,20,<=50K
53,Assoc-acdm,Divorced,Sales,Not-in-family,Female,0,0,40,<=50K
40,Some-college,Separated,Exec-managerial,Own-child,Female,0,0,40,>50K
38,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,50,<=50K
62,7th-8th,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,<=50K
30,Some-college,Separated,Adm-clerical,Not-in-family,Female,0,0,45,<=50K
63,HS-grad,Married-civ-spouse,Exec-managerial,Wife,Female,10600,0,16,>50K
46,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,>50K
20,Some-college,Never-married,?,Own-child,Female,0,0,32,<=50K
20,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,<=50K
71,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,25,<=50K
25,HS-grad,Never-married,Other-service,Own-child,Male,0,0,40,<=50K
70,Some-college,Widowed,Exec-managerial,Not-in-family,Female,0,0,40,<=50K
52,HS-grad,Widowed,Machine-op-inspct,Unmarried,Male,0,0,40,<=50K
32,Some-college,Married-civ-spouse,?,Husband,Male,0,0,40,<=50K
23,Masters,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,<=50K
36,HS-grad,Divorced,Craft-repair,Unmarried,Male,0,0,40,<=50K
62,9th,Married-civ-spouse,Craft-repair,Husband,Male,0,0,44,<=50K
62,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,8,<=50K
59,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,<=50K
52,Bachelors,Married-civ-spouse,Protective-serv,Husband,Male,0,0,15,>50K
40,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,1902,55,<=50K
44,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,45,>50K
39,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,<=50K
46,Some-college,Separated,Exec-managerial,Not-in-family,Male,0,0,40,>50K
33,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,>50K
33,11th,Married-civ-spouse,Transport-moving,Husband,Male,0,0,60,<=50K
50,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,<=50K
37,HS-grad,Separated,Craft-repair,Other-relative,Male,0,0,40,<=50K
31,HS-grad,Never-married,Other-service,Not-in-family,Male,0,0,15,>50K
45,HS-grad,Married-spouse-absent,Adm-clerical,Unmarried,Female,0,0,40,<=50K
23,HS-grad,Never-married,Adm-clerical,Other-relative,Male,0,0,45,<=50K
62,10th,Never-married,Priv-house-serv,Not-in-family,Female,0,0,12,<=50K
51,Some-college,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,23,<=50K
50,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,>50K
37,HS-grad,Never-married,Adm-clerical,Not-in-family,Male,0,0,30,<=50K
29,Bachelors,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,<=50K
23,Some-college,Never-married,Other-service,Not-in-family,Male,0,0,40,<=50K
46,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,<=50K
25,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,40,<=50K
27,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,<=50K
34,11th,Married-spouse-absent,Other-service,Unmarried,Male,0,0,35,<=50K
31,HS-grad,Separated,Craft-repair,Not-in-family,Female,0,0,40,<=50K
36,HS-grad,Divorced,Other-service,Not-in-family,Female,0,0,42,<=50K
51,Assoc-voc,Never-married,Exec-managerial,Not-in-family,Male,0,0,50,>50K
58,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,>50K
23,HS-grad,Never-married,Other-service,Not-in-family,Female,0,0,25,<=50K
71,11th,Widowed,?,Not-in-family,Female,0,0,35,<=50K
40,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,>50K
27,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,>50K
36,Assoc-voc,Divorced,Other-service,Not-in-family,Female,0,0,50,<=50K
25,HS-grad,Never-married,Other-service,Own-child,Male,0,0,72,<=50K
34,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,>50K
90,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,>50K
54,HS-grad,Widowed,Adm-clerical,Not-in-family,Female,0,0,40,<=50K
58,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,35,>50K
56,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,2179,80,<=50K
80,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,3406,0,45,<=50K
40,Some-college,Never-married,Craft-repair,Not-in-family,Male,0,0,40,<=50K
71,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,35,<=50K
35,HS-grad,Never-married,Other-service,Other-relative,Male,0,1729,20,<=50K
65,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,22,>50K
66,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,3653,0,40,<=50K
30,Some-college,Never-married,Handlers-cleaners,Own-child,Male,0,0,25,<=50K
51,Some-college,Never-married,Exec-managerial,Not-in-family,Male,0,0,40,<=50K
43,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,55,<=50K
17,11th,Never-married,Other-service,Own-child,Male,0,0,20,<=50K
43,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,>50K
52,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,7298,0,50,>50K
39,12th,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
71,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,0,0,21,<=50K
52,Masters,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,60,>50K
18,HS-grad,Never-married,Prof-specialty,Own-child,Female,0,0,40,<=50K
51,Bachelors,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,>50K
50,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,<=50K
29,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,>50K
31,Assoc-voc,Never-married,Tech-support,Not-in-family,Male,0,0,40,<=50K
35,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,>50K
31,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,35,>50K
59,HS-grad,Married-spouse-absent,Machine-op-inspct,Not-in-family,Male,0,0,40,<=50K
32,11th,Married-civ-spouse,Other-service,Husband,Male,0,0,37,<=50K
46,Masters,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,36,>50K
56,Masters,Married-civ-spouse,Sales,Husband,Male,0,0,58,>50K
26,HS-grad,Divorced,Tech-support,Not-in-family,Male,0,0,40,<=50K
24,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,45,>50K
60,Some-college,Married-civ-spouse,?,Husband,Male,0,1902,35,>50K
42,Masters,Divorced,Prof-specialty,Not-in-family,Male,6506,0,40,>50K
28,Assoc-acdm,Never-married,Adm-clerical,Unmarried,Female,0,0,30,<=50K
58,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
29,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,8,<=50K
44,Bachelors,Never-married,Prof-specialty,Not-in-family,Female,0,0,75,>50K
21,Some-college,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,40,<=50K
34,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,>50K
43,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,50,<=50K
