workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,income,age
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,55
Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,<=50K,32
Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,36
Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,<=50K,39
Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,<=50K,31
Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,59
Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,35,<=50K,29
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K,
Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,38,<=50K,27
Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K,40
Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,48,<=50K,25
State-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,33
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,32
Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,
Local-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,<=50K,37
Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,53,>50K,
Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,30,<=50K,
Local-gov,HS-grad,Divorced,Other-service,Own-child,White,Male,40,<=50K,41
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,40,<=50K,41
Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,26
Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,39,<=50K,35
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,>50K,33
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,>50K,
Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,48,<=50K,36
Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,30,<=50K,38
Federal-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,35
Private,HS-grad,Divorced,Tech-support,Not-in-family,White,Female,55,<=50K,68
State-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,<=50K,36
Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,41,<=50K,40
Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,20,<=50K,18
Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,45,<=50K,22
Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,40,<=50K,
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,59
Private,Some-college,Separated,Handlers-cleaners,Own-child,White,Male,20,<=50K,22
Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,<=50K,42
Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,28
Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,<=50K,44
?,HS-grad,Divorced,?,Not-in-family,White,Female,40,<=50K,27
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,60,>50K,
Private,Some-college,Never-married,Sales,Not-in-family,White,Male,45,>50K,
?,Masters,Married-civ-spouse,?,Husband,White,Male,5,<=50K,
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,>50K,60
Private,Some-college,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,40,<=50K,30
Private,HS-grad,Widowed,Prof-specialty,Unmarried,Black,Female,40,<=50K,
Private,10th,Never-married,Other-service,Own-child,White,Male,8,<=50K,17
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,>50K,
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,>50K,
Private,11th,Never-married,Sales,Other-relative,White,Female,20,<=50K,17
Private,Some-college,Married-civ-spouse,Adm-clerical,Unmarried,Black,Female,46,<=50K,39
Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,
?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,<=50K,60
Private,Some-college,Never-married,Sales,Own-child,White,Female,9,<=50K,23
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,<=50K,27
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,>50K,
Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,60,<=50K,38
Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,55,<=50K,32
Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40,<=50K,21
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,47
Self-emp-not-inc,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,60,<=50K,43
Private,10th,Divorced,Sales,Not-in-family,Black,Male,40,<=50K,58
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,39
Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,99,>50K,
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,36
Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,30,<=50K,52
Private,Bachelors,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,40,<=50K,24
?,Bachelors,Never-married,?,Not-in-family,Black,Male,25,<=50K,26
Private,Some-college,Never-married,Sales,Own-child,Black,Female,28,<=50K,22
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,28
State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,37
?,10th,Never-married,?,Own-child,White,Female,20,<=50K,18
Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,20,<=50K,
Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Female,40,<=50K,22
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,40,<=50K,21
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,60,>50K,
Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,35,<=50K,34
Private,HS-grad,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,40,<=50K,37
Private,Bachelors,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,40,<=50K,26
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,3,<=50K,20
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,65,<=50K,35
Self-emp-not-inc,10th,Never-married,Sales,Own-child,White,Male,30,<=50K,23
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,70,<=50K,
Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,59
Private,7th-8th,Divorced,Craft-repair,Not-in-family,White,Male,20,<=50K,80
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,41
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,<=50K,24
Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,<=50K,26
Local-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K,38
Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,40,<=50K,39
?,Some-college,Never-married,?,Own-child,White,Female,20,<=50K,19
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,
Private,Bachelors,Separated,Sales,Unmarried,White,Male,40,<=50K,24
Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,<=50K,20
Self-emp-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,60,<=50K,
Private,11th,Married-spouse-absent,Sales,Not-in-family,White,Male,40,<=50K,50
?,Bachelors,Married-civ-spouse,?,Wife,Amer-Indian-Eskimo,Female,40,<=50K,39
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,11,<=50K,36
Private,HS-grad,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Male,20,<=50K,38
Private,HS-grad,Widowed,Other-service,Not-in-family,White,Female,40,<=50K,65
Private,10th,Never-married,Tech-support,Other-relative,White,Female,40,<=50K,21
Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,80,>50K,
Private,10th,Never-married,Machine-op-inspct,Own-child,White,Male,14,<=50K,17
Private,Bachelors,Divorced,Machine-op-inspct,Not-in-family,White,Female,50,<=50K,
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,<=50K,45
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,>50K,49
Private,Bachelors,Widowed,Sales,Not-in-family,White,Female,40,<=50K,
Private,10th,Married-civ-spouse,Adm-clerical,Husband,White,Male,33,<=50K,47
Private,Some-college,Never-married,Adm-clerical,Other-relative,White,Male,4,<=50K,26
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,6,<=50K,77
Private,9th,Never-married,Other-service,Other-relative,White,Female,35,<=50K,24
Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,>50K,
Private,10th,Never-married,Other-service,Own-child,Other,Male,10,<=50K,17
Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,
?,7th-8th,Widowed,?,Other-relative,Black,Female,35,<=50K,47
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,<=50K,42
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,<=50K,
Private,HS-grad,Never-married,Sales,Own-child,White,Female,10,<=50K,20
Private,Assoc-acdm,Never-married,Craft-repair,Unmarried,White,Male,40,<=50K,33
Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,
Private,HS-grad,Widowed,Craft-repair,Unmarried,White,Female,40,<=50K,54
Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,<=50K,51
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,
?,7th-8th,Married-spouse-absent,?,Not-in-family,White,Male,40,<=50K,24
Private,HS-grad,Never-married,Other-service,Own-child,White,Male,30,<=50K,20
Private,HS-grad,Widowed,Other-service,Unmarried,Black,Female,32,<=50K,62
State-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,37
Self-emp-inc,Bachelors,Never-married,Sales,Not-in-family,White,Male,60,<=50K,49
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K,46
Private,Some-college,Divorced,Transport-moving,Other-relative,White,Male,40,<=50K,30
Private,HS-grad,Never-married,Other-service,Own-child,Black,Male,35,<=50K,23
Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,36,<=50K,22
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,40,<=50K,
Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,<=50K,
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,58
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,<=50K,40
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,<=50K,40
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,
State-gov,Assoc-voc,Never-married,Craft-repair,Unmarried,White,Male,8,<=50K,28
Private,Bachelors,Divorced,Prof-specialty,Not-in-family,Black,Male,40,<=50K,44
Local-gov,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,40,<=50K,31
Private,Some-college,Divorced,Sales,Unmarried,Black,Female,38,<=50K,47
Self-emp-inc,11th,Married-civ-spouse,Sales,Husband,White,Male,28,<=50K,72
Self-emp-not-inc,12th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,>50K,
Private,Some-college,Never-married,Sales,Own-child,White,Female,15,<=50K,19
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,65,<=50K,27
Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,45,<=50K,43
Private,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,40,<=50K,62
?,Some-college,Married-civ-spouse,?,Husband,White,Male,40,<=50K,62
State-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,40,<=50K,
Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,35,<=50K,
Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,>50K,
Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,40,<=50K,60
?,Masters,Never-married,?,Not-in-family,White,Female,18,<=50K,25
Private,Some-college,Never-married,Other-service,Own-child,White,Female,24,<=50K,20
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,
Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Own-child,White,Male,40,<=50K,
Local-gov,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,40,<=50K,
Private,Some-college,Never-married,Sales,Not-in-family,White,Female,5,<=50K,31
Private,HS-grad,Widowed,Craft-repair,Unmarried,White,Male,40,<=50K,31
?,Assoc-voc,Divorced,?,Unmarried,White,Female,44,<=50K,39
Private,Bachelors,Never-married,Craft-repair,Own-child,White,Male,50,<=50K,25
Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,55,>50K,
State-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,20,<=50K,27
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,
Private,HS-grad,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,40,<=50K,
?,5th-6th,Never-married,?,Not-in-family,White,Female,30,<=50K,19
Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,40,<=50K,60
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,52
?,HS-grad,Never-married,?,Own-child,White,Female,15,<=50K,18
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,<=50K,27
Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,Female,25,<=50K,
Private,11th,Divorced,Handlers-cleaners,Own-child,White,Male,40,<=50K,21
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,41
Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,<=50K,33
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,20,>50K,
Private,Assoc-voc,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K,30
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,
?,Bachelors,Never-married,?,Unmarried,White,Female,40,<=50K,37
Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,
State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,>50K,43
Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,35,>50K,
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,90,<=50K,52
Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,52
Private,Some-college,Never-married,Other-service,Own-child,White,Male,35,<=50K,20
Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,<=50K,
Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,<=50K,23
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K,41
Private,7th-8th,Married-civ-spouse,Other-service,Husband,White,Male,49,<=50K,41
Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,31
Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,38,<=50K,45
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,38
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,31
Private,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,44,<=50K,
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,20,<=50K,57
Self-emp-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,>50K,
Federal-gov,Some-college,Divorced,Protective-serv,Unmarried,White,Female,40,<=50K,44
Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,40,<=50K,37
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,40
Private,Bachelors,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,50,<=50K,
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K,21
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,<=50K,26
Private,HS-grad,Never-married,Sales,Unmarried,White,Female,60,<=50K,33
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,58,>50K,
?,Some-college,Married-civ-spouse,?,Husband,White,Male,22,<=50K,35
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,<=50K,30
Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,15,<=50K,18
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,65,<=50K,35
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K,47
Private,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,38,<=50K,61
Private,HS-grad,Never-married,Protective-serv,Not-in-family,Other,Male,45,<=50K,25
Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Own-child,White,Male,16,<=50K,
Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,30,>50K,
Private,Bachelors,Widowed,Sales,Not-in-family,White,Male,55,>50K,
Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,40,<=50K,43
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,<=50K,31
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,32,>50K,
Private,Preschool,Married-civ-spouse,Farming-fishing,Husband,White,Male,35,<=50K,71
