workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,income,age
?,Some-college,Widowed,?,Not-in-family,White,Female,25,<=50K,
State-gov,HS-grad,Never-married,Other-service,Unmarried,White,Female,55,<=50K,39.0
Federal-gov,HS-grad,Married-spouse-absent,Other-service,Unmarried,Black,Male,40,<=50K,29.0
Self-emp-not-inc,Assoc-voc,Divorced,Other-service,Unmarried,White,Female,10,<=50K,
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,84,<=50K,
Private,Some-college,Married-spouse-absent,Transport-moving,Unmarried,White,Male,40,<=50K,50.0
Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,40,<=50K,
Self-emp-not-inc,Prof-school,Widowed,Prof-specialty,Not-in-family,White,Male,60,<=50K,
Private,10th,Never-married,Sales,Own-child,White,Female,40,<=50K,41.0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,47.0
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,41.0
Local-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,<=50K,46.0
Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40,<=50K,26.0
?,Some-college,Never-married,?,Own-child,White,Female,8,<=50K,22.0
Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,>50K,40.0
Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,<=50K,39.0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,<=50K,39.0
?,Doctorate,Married-civ-spouse,?,Husband,White,Male,70,<=50K,
Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,44,<=50K,48.0
Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,<=50K,24.0
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,25,<=50K,25.0
?,Assoc-acdm,Never-married,?,Own-child,White,Male,20,<=50K,25.0
Private,Masters,Married-civ-spouse,Adm-clerical,Wife,White,Female,50,>50K,
Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,40,<=50K,22.0
Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,44,<=50K,30.0
Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,36.0
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,47.0
Private,Some-college,Divorced,Tech-support,Not-in-family,White,Female,40,<=50K,
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,30.0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,60,>50K,51.0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,45.0
?,HS-grad,Divorced,?,Other-relative,White,Male,45,<=50K,
Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Own-child,White,Female,48,<=50K,
Private,Bachelors,Never-married,Other-service,Not-in-family,White,Male,50,<=50K,28.0
Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,55,<=50K,39.0
?,HS-grad,Never-married,?,Not-in-family,White,Female,4,<=50K,35.0
Private,11th,Never-married,Transport-moving,Not-in-family,White,Female,35,<=50K,26.0
Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,<=50K,61.0
Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,58.0
?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,<=50K,29.0
Private,7th-8th,Never-married,Farming-fishing,Not-in-family,White,Male,40,<=50K,49.0
Private,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,16,>50K,
Private,HS-grad,Never-married,Adm-clerical,Other-relative,Black,Female,40,<=50K,42.0
Local-gov,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K,65.0
Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,>50K,
?,Some-college,Married-civ-spouse,?,Husband,White,Male,35,>50K,
Private,10th,Married-civ-spouse,Sales,Husband,White,Male,70,<=50K,48.0
Private,11th,Never-married,Other-service,Own-child,White,Female,15,<=50K,18.0
Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,<=50K,67.0
Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,80,<=50K,
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,<=50K,
State-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,16,<=50K,28.0
Private,Bachelors,Divorced,Prof-specialty,Unmarried,Black,Male,40,<=50K,44.0
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,<=50K,37.0
Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40,<=50K,34.0
Private,11th,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,<=50K,58.0
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,20,<=50K,44.0
Self-emp-inc,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Male,50,>50K,
Private,HS-grad,Separated,Machine-op-inspct,Unmarried,Black,Female,40,<=50K,26.0
?,HS-grad,Divorced,?,Not-in-family,Black,Female,28,<=50K,
Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Male,40,<=50K,
Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K,
Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,56,<=50K,33.0
Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,32.0
Private,Assoc-voc,Divorced,Sales,Not-in-family,White,Female,44,<=50K,
Self-emp-not-inc,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Female,3,<=50K,81.0
Private,HS-grad,Separated,Sales,Not-in-family,White,Female,40,<=50K,45.0
Local-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,<=50K,25.0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,>50K,
Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,40,<=50K,46.0
Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,20,<=50K,22.0
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,
Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,50,<=50K,43.0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45,<=50K,41.0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,46.0
?,1st-4th,Widowed,?,Not-in-family,Black,Female,40,<=50K,
Private,HS-grad,Separated,Other-service,Other-relative,Black,Female,40,<=50K,33.0
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,38.0
Self-emp-not-inc,HS-grad,Divorced,Other-service,Not-in-family,White,Female,40,<=50K,
Federal-gov,Some-college,Divorced,Other-service,Not-in-family,Black,Male,40,<=50K,33.0
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,35,<=50K,63.0
Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,
Local-gov,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,<=50K,37.0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,40,<=50K,23.0
State-gov,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,<=50K,38.0
Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40,<=50K,35.0
Private,HS-grad,Separated,Other-service,Other-relative,White,Male,28,<=50K,30.0
Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,50,>50K,
Private,Some-college,Never-married,Sales,Own-child,Black,Female,20,<=50K,20.0
Private,Some-college,Never-married,Protective-serv,Not-in-family,Black,Female,40,>50K,21.0
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,<=50K,65.0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,
?,Some-college,Divorced,?,Own-child,White,Male,50,<=50K,54.0
Private,11th,Widowed,Adm-clerical,Unmarried,White,Female,40,<=50K,
Private,Some-college,Never-married,Other-service,Own-child,White,Female,25,<=50K,21.0
Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,40,<=50K,22.0
Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,>50K,38.0
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K,26.0
Private,12th,Never-married,Handlers-cleaners,Unmarried,White,Male,40,<=50K,28.0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,38.0
Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,45,>50K,
Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,41,>50K,
Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,40,<=50K,32.0
Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,12,<=50K,18.0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,46.0
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,40,<=50K,21.0
State-gov,Bachelors,Never-married,Sales,Not-in-family,White,Male,20,<=50K,38.0
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,55,<=50K,30.0
Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,44,<=50K,36.0
?,HS-grad,Married-spouse-absent,?,Not-in-family,White,Male,40,<=50K,25.0
Self-emp-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,
?,Some-college,Divorced,?,Unmarried,White,Female,30,<=50K,
Private,Assoc-voc,Never-married,Tech-support,Not-in-family,Black,Female,40,<=50K,28.0
Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,40,<=50K,35.0
Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K,32.0
Federal-gov,12th,Never-married,Adm-clerical,Own-child,Black,Male,25,<=50K,21.0
Private,Some-college,Divorced,Other-service,Unmarried,White,Female,35,<=50K,
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,
Private,Some-college,Never-married,Sales,Own-child,White,Female,35,<=50K,21.0
Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,22.0
Self-emp-inc,HS-grad,Divorced,Other-service,Not-in-family,White,Female,60,<=50K,46.0
Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,30,<=50K,18.0
Private,Some-college,Married-civ-spouse,Sales,Husband,Black,Male,60,>50K,46.0
State-gov,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,15,<=50K,22.0
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,
?,10th,Widowed,?,Unmarried,Black,Female,40,<=50K,
Private,Some-college,Divorced,Sales,Not-in-family,White,Female,60,<=50K,34.0
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,37,<=50K,
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,
?,Bachelors,Divorced,?,Own-child,White,Female,40,<=50K,
Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,65.0
Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,40,<=50K,21.0
Self-emp-not-inc,9th,Never-married,Sales,Own-child,White,Male,30,<=50K,21.0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K,
Self-emp-inc,Bachelors,Divorced,Sales,Not-in-family,White,Male,60,>50K,
Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,
Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,45,<=50K,
Private,11th,Never-married,Craft-repair,Not-in-family,White,Male,40,<=50K,28.0
Private,Some-college,Never-married,Other-service,Own-child,White,Male,20,<=50K,19.0
Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,<=50K,39.0
Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,52.0
Private,HS-grad,Never-married,Adm-clerical,Other-relative,Black,Male,40,<=50K,22.0
Private,11th,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,40,<=50K,18.0
Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,47.0
Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,45,<=50K,33.0
Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Black,Female,37,<=50K,
Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,40,<=50K,
State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,36.0
Private,11th,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,30.0
Self-emp-inc,Some-college,Never-married,Sales,Not-in-family,White,Male,50,<=50K,
Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,40,<=50K,32.0
Private,Bachelors,Never-married,Other-service,Own-child,White,Female,24,<=50K,30.0
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,60,>50K,50.0
?,Some-college,Married-civ-spouse,?,Husband,White,Male,40,<=50K,30.0
Private,HS-grad,Never-married,Sales,Unmarried,White,Female,40,<=50K,25.0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,34.0
Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,48,<=50K,
Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,30,<=50K,38.0
Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,<=50K,29.0
?,9th,Never-married,?,Other-relative,White,Female,40,<=50K,19.0
Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,>50K,
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,>50K,
?,HS-grad,Never-married,?,Own-child,White,Female,3,<=50K,18.0
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,<=50K,47.0
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,50,<=50K,
Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,<=50K,73.0
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,55,<=50K,34.0
State-gov,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,40,<=50K,46.0
Private,10th,Never-married,Other-service,Own-child,White,Male,25,<=50K,17.0
Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,40,<=50K,27.0
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K,43.0
Private,Masters,Never-married,Sales,Not-in-family,White,Male,50,>50K,
State-gov,HS-grad,Never-married,Sales,Not-in-family,Black,Female,30,<=50K,18.0
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,>50K,43.0
Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,40,<=50K,19.0
Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,40,<=50K,37.0
Private,Some-college,Never-married,Sales,Other-relative,Black,Female,40,<=50K,24.0
Self-emp-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,65,>50K,
Self-emp-inc,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Female,70,<=50K,
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,31.0
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,>50K,
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,38.0
Federal-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,50,>50K,46.0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,39.0
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45,>50K,45.0
Private,11th,Widowed,Adm-clerical,Not-in-family,White,Female,45,<=50K,61.0
Private,11th,Widowed,Adm-clerical,Unmarried,White,Female,40,<=50K,
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,<=50K,
?,Some-college,Married-civ-spouse,?,Husband,White,Male,20,>50K,
?,Bachelors,Married-civ-spouse,?,Wife,Other,Female,50,>50K,
Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,40,<=50K,26.0
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,>50K,
Private,Some-college,Never-married,Protective-serv,Own-child,White,Male,40,<=50K,20.0
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,55,>50K,
Private,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,40,<=50K,65.0
?,11th,Divorced,?,Own-child,White,Male,84,<=50K,34.0
Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,<=50K,44.0
Self-emp-not-inc,7th-8th,Divorced,Transport-moving,Not-in-family,White,Male,45,<=50K,
State-gov,9th,Never-married,Adm-clerical,Not-in-family,White,Female,38,<=50K,64.0
State-gov,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,>50K,42.0
Private,7th-8th,Separated,Handlers-cleaners,Not-in-family,White,Male,40,<=50K,30.0
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,75,>50K,40.0
State-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Female,40,<=50K,
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,>50K,
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,<=50K,47.0
Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,80,<=50K,62.0
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,
Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,40,<=50K,24.0
Private,11th,Divorced,Adm-clerical,Not-in-family,White,Male,40,>50K,
Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,29.0
Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,40,<=50K,35.0
Private,Some-college,Separated,Other-service,Not-in-family,White,Female,40,<=50K,40.0
Private,11th,Never-married,Other-service,Own-child,Black,Male,23,<=50K,18.0
Private,Some-college,Divorced,Sales,Not-in-family,White,Male,30,<=50K,28.0
Private,HS-grad,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,72,<=50K,45.0
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,<=50K,
State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,<=50K,27.0
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,38,>50K,
Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,40,<=50K,51.0
Local-gov,12th,Never-married,Other-service,Own-child,Black,Female,44,<=50K,27.0
Private,10th,Divorced,Machine-op-inspct,Unmarried,White,Female,40,<=50K,40.0
Private,Some-college,Never-married,Exec-managerial,Unmarried,White,Female,40,<=50K,
?,HS-grad,Widowed,?,Unmarried,White,Female,36,<=50K,31.0
Self-emp-not-inc,Bachelors,Never-married,Sales,Own-child,White,Male,35,<=50K,43.0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,>50K,
Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,40,<=50K,
Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,<=50K,30.0
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,55,<=50K,64.0
Private,10th,Never-married,Other-service,Own-child,Black,Male,15,<=50K,17.0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,
Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,36,<=50K,
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,39.0
?,Some-college,Widowed,?,Not-in-family,Amer-Indian-Eskimo,Male,3,<=50K,82.0
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K,22.0
Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,
Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,46.0
Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,<=50K,
Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,>50K,
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,44,<=50K,58.0
Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Male,40,<=50K,52.0
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,50,>50K,
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,44.0
Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,40,<=50K,
?,Some-college,Married-civ-spouse,?,Husband,Black,Male,30,<=50K,58.0
Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,40,<=50K,
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,<=50K,
Private,12th,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,<=50K,22.0
Local-gov,HS-grad,Divorced,Protective-serv,Not-in-family,Black,Male,20,<=50K,
Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,59.0
Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K,23.0
Federal-gov,Bachelors,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,40,>50K,55.0
Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,90,>50K,37.0
Private,Some-college,Never-married,Sales,Own-child,White,Male,10,<=50K,21.0
